"X","Y","H30_Lusit (TWT)"
527480.01,2263561.01,383.850586
527480.01,2263661.01,381.808113
527480.01,2263761.01,379.035248
527480.01,2263861.01,378.811081
527480.01,2263961.01,382.35321
527480.01,2264061.01,379.232361
527480.01,2264161.01,377.74588
527480.01,2264261.01,385.51825
527480.01,2264361.01,391.217041
527480.01,2264461.01,399.765854
527480.01,2264561.01,407.79084
527480.01,2264661.01,413.917206
527480.01,2264761.01,417.774719
527480.01,2264861.01,418.5578
527480.01,2264961.01,420.75515
527480.01,2265061.01,426.068619
527480.01,2265161.01,425.987061
527480.01,2265261.01,425.473724
527480.01,2265361.01,424.826706
527480.01,2265461.01,424.157684
527480.01,2265561.01,418.060638
527480.01,2265661.01,413.80706
527480.01,2265761.01,409.237961
527480.01,2265861.01,404.448746
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,364.618881
527580.01,2261361.01,363.881561
527580.01,2261461.01,363.542061
527580.01,2261561.01,364.610397
527580.01,2261661.01,367.407608
527580.01,2261761.01,369.150818
527580.01,2261861.01,372.180695
527580.01,2261961.01,374.700806
527580.01,2262061.01,375.826981
527580.01,2262161.01,376.884972
527580.01,2262261.01,372.307877
527580.01,2262361.01,370.06572
527580.01,2262461.01,371.998047
527580.01,2262561.01,374.3452
527580.01,2262661.01,376.232513
527580.01,2262761.01,377.27253
527580.01,2262861.01,380.512192
527580.01,2262961.01,381.222572
527580.01,2263061.01,381.049957
527580.01,2263161.01,382.725296
527580.01,2263261.01,383.650574
527580.01,2263361.01,380.570953
527580.01,2263461.01,379.806267
527580.01,2263561.01,380.076782
527580.01,2263661.01,379.587036
527580.01,2263761.01,379.3591
527580.01,2263861.01,380.758606
527580.01,2263961.01,381.447281
527580.01,2264061.01,383.022324
527580.01,2264161.01,384.836929
527580.01,2264261.01,387.29982
527580.01,2264361.01,392.220764
527580.01,2264461.01,399.703644
527580.01,2264561.01,407.845795
527580.01,2264661.01,411.00943
527580.01,2264761.01,412.813103
527580.01,2264861.01,415.48262
527580.01,2264961.01,418.675079
527580.01,2265061.01,423.002136
527580.01,2265161.01,423.999222
527580.01,2265261.01,423.564468
527580.01,2265361.01,421.862526
527580.01,2265461.01,416.589417
527580.01,2265561.01,409.941086
527580.01,2265661.01,405.766052
527580.01,2265761.01,402.826462
527580.01,2265861.01,399.060974
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,365.313103
527680.01,2261361.01,365.207153
527680.01,2261461.01,365.514023
527680.01,2261561.01,366.171204
527680.01,2261661.01,367.563293
527680.01,2261761.01,369.289825
527680.01,2261861.01,372.264595
527680.01,2261961.01,374.338394
527680.01,2262061.01,375.283493
527680.01,2262161.01,375.680603
527680.01,2262261.01,371.534256
527680.01,2262361.01,369.788528
527680.01,2262461.01,370.359573
527680.01,2262561.01,371.882271
527680.01,2262661.01,372.205048
527680.01,2262761.01,374.28833
527680.01,2262861.01,376.727753
527680.01,2262961.01,377.037178
527680.01,2263061.01,378.728378
527680.01,2263161.01,379.772354
527680.01,2263261.01,379.164871
527680.01,2263361.01,378.497528
527680.01,2263461.01,377.452301
527680.01,2263561.01,377.234619
527680.01,2263661.01,378.070618
527680.01,2263761.01,379.059769
527680.01,2263861.01,379.479843
527680.01,2263961.01,380.378723
527680.01,2264061.01,383.289093
527680.01,2264161.01,386.753876
527680.01,2264261.01,389.432808
527680.01,2264361.01,392.918945
527680.01,2264461.01,397.200752
527680.01,2264561.01,400.445557
527680.01,2264661.01,408.246338
527680.01,2264761.01,410.481079
527680.01,2264861.01,411.319122
527680.01,2264961.01,417.646484
527680.01,2265061.01,420.317116
527680.01,2265161.01,421.25399
527680.01,2265261.01,418.85498
527680.01,2265361.01,412.084427
527680.01,2265461.01,401.643677
527680.01,2265561.01,393.200294
527680.01,2265661.01,389.941055
527680.01,2265761.01,391.064552
527680.01,2265861.01,390.093384
527680.01,2265961.01,389.466019
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,368.106842
527780.01,2261261.01,365.666412
527780.01,2261361.01,365.811913
527780.01,2261461.01,366.814682
527780.01,2261561.01,368.201393
527780.01,2261661.01,371.415024
527780.01,2261761.01,371.824493
527780.01,2261861.01,373.085297
527780.01,2261961.01,374.773987
527780.01,2262061.01,375.271553
527780.01,2262161.01,374.478134
527780.01,2262261.01,368.606621
527780.01,2262361.01,367.865112
527780.01,2262461.01,368.638626
527780.01,2262561.01,370.010712
527780.01,2262661.01,370.527046
527780.01,2262761.01,372.170944
527780.01,2262861.01,374.115013
527780.01,2262961.01,374.56369
527780.01,2263061.01,375.552124
527780.01,2263161.01,376.422516
527780.01,2263261.01,375.199799
527780.01,2263361.01,374.689148
527780.01,2263461.01,375.032028
