"X","Y","H20_Kimm (TWT)"
527380.01,2263661.01,272.481956
527380.01,2263761.01,272.122864
527380.01,2263861.01,270.846771
527380.01,2263961.01,270.770782
527380.01,2264061.01,272.825546
527380.01,2264161.01,274.888229
527380.01,2264261.01,279.653931
527380.01,2264361.01,283.768509
527380.01,2264461.01,291.034119
527380.01,2264561.01,298.999359
527380.01,2264661.01,303.163651
527380.01,2264761.01,307.475075
527380.01,2264861.01,311.538757
527380.01,2264961.01,312.372009
527380.01,2265061.01,313.357971
527380.01,2265161.01,314.302032
527380.01,2265261.01,314.490143
527380.01,2265361.01,312.848526
527380.01,2265461.01,311.763138
527380.01,2265561.01,311.067856
527380.01,2265661.01,311.018646
527380.01,2265761.01,311.026672
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,249.032936
527480.01,2261361.01,246.823219
527480.01,2261461.01,244.68779
527480.01,2261561.01,245.72879
527480.01,2261661.01,249.482788
527480.01,2261761.01,251.681458
527480.01,2261861.01,256.479294
527480.01,2261961.01,259.362686
527480.01,2262061.01,260.289154
527480.01,2262161.01,261.776367
527480.01,2262261.01,260.211212
527480.01,2262361.01,258.294449
527480.01,2262461.01,257.314011
527480.01,2262561.01,259.830383
527480.01,2262661.01,263.63472
527480.01,2262761.01,264.824799
527480.01,2262861.01,267.162598
527480.01,2262961.01,268.217834
527480.01,2263061.01,268.111
527480.01,2263161.01,269.411469
527480.01,2263261.01,271.147209
527480.01,2263361.01,270.485596
527480.01,2263461.01,269.601044
527480.01,2263561.01,269.343842
527480.01,2263661.01,268.738609
527480.01,2263761.01,269.339951
527480.01,2263861.01,270.175819
527480.01,2263961.01,271.629089
527480.01,2264061.01,274.255386
527480.01,2264161.01,276.343292
527480.01,2264261.01,282.258331
527480.01,2264361.01,285.697395
527480.01,2264461.01,293.588913
527480.01,2264561.01,301.267227
527480.01,2264661.01,303.755493
527480.01,2264761.01,307.521301
527480.01,2264861.01,309.422333
527480.01,2264961.01,309.788788
527480.01,2265061.01,311.802536
527480.01,2265161.01,314.286545
527480.01,2265261.01,315.401825
527480.01,2265361.01,316.038422
527480.01,2265461.01,314.841431
527480.01,2265561.01,314.290329
527480.01,2265661.01,310.840942
527480.01,2265761.01,307.364151
527480.01,2265861.01,303.722198
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,249.197754
527580.01,2261361.01,245.030869
527580.01,2261461.01,244.185684
527580.01,2261561.01,245.326187
527580.01,2261661.01,249.363571
527580.01,2261761.01,251.410751
527580.01,2261861.01,255.855515
527580.01,2261961.01,257.934082
527580.01,2262061.01,258.995514
527580.01,2262161.01,259.711617
527580.01,2262261.01,258.169708
527580.01,2262361.01,255.385208
527580.01,2262461.01,255.529816
527580.01,2262561.01,256.821823
527580.01,2262661.01,259.755829
527580.01,2262761.01,260.46376
527580.01,2262861.01,264.26181
527580.01,2262961.01,265.961517
527580.01,2263061.01,266.121185
527580.01,2263161.01,267.072708
527580.01,2263261.01,268.188904
527580.01,2263361.01,265.432785
527580.01,2263461.01,264.793861
527580.01,2263561.01,265.19429
527580.01,2263661.01,264.776825
527580.01,2263761.01,265.782379
527580.01,2263861.01,267.756851
527580.01,2263961.01,269.030777
527580.01,2264061.01,271.801239
527580.01,2264161.01,275.15657
527580.01,2264261.01,276.927307
527580.01,2264361.01,282.751434
527580.01,2264461.01,289.799881
527580.01,2264561.01,298.065216
527580.01,2264661.01,301.27594
527580.01,2264761.01,304.827293
527580.01,2264861.01,306.470657
527580.01,2264961.01,307.90947
527580.01,2265061.01,311.189423
527580.01,2265161.01,314.284897
527580.01,2265261.01,316.342789
527580.01,2265361.01,319.226456
527580.01,2265461.01,318.997192
527580.01,2265561.01,315.984299
527580.01,2265661.01,311.151062
527580.01,2265761.01,306.621552
527580.01,2265861.01,298.155548
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,247.651913
527680.01,2261361.01,245.941345
527680.01,2261461.01,246.009911
527680.01,2261561.01,248.260132
527680.01,2261661.01,250.591003
527680.01,2261761.01,252.418541
527680.01,2261861.01,255.068806
527680.01,2261961.01,257.433792
527680.01,2262061.01,258.261368
527680.01,2262161.01,258.796234
527680.01,2262261.01,256.977493
527680.01,2262361.01,254.347153
527680.01,2262461.01,253.231689
527680.01,2262561.01,253.128639
527680.01,2262661.01,253.611328
527680.01,2262761.01,256.843399
527680.01,2262861.01,260.317444
527680.01,2262961.01,260.723793
527680.01,2263061.01,262.292419
527680.01,2263161.01,263.242264
527680.01,2263261.01,263.945572
527680.01,2263361.01,262.935196
527680.01,2263461.01,262.624146
527680.01,2263561.01,262.323074
527680.01,2263661.01,262.318573
527680.01,2263761.01,263.450546
527680.01,2263861.01,266.140686
527680.01,2263961.01,267.54306
527680.01,2264061.01,270.545822
527680.01,2264161.01,273.350311
527680.01,2264261.01,275.41716
527680.01,2264361.01,280.13179
527680.01,2264461.01,286.808472
527680.01,2264561.01,290.44455
527680.01,2264661.01,297.566223
527680.01,2264761.01,302.451508
527680.01,2264861.01,303.829613
527680.01,2264961.01,306.890137
527680.01,2265061.01,310.005173
527680.01,2265161.01,312.769554
527680.01,2265261.01,315.027924
527680.01,2265361.01,319.229263
527680.01,2265461.01,319.51181
527680.01,2265561.01,309.661819
527680.01,2265661.01,293.328094
527680.01,2265761.01,284.234665
527680.01,2265861.01,277.122498
527680.01,2265961.01,276.62532
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,249.186874
527780.01,2261261.01,247.094757
527780.01,2261361.01,246.607052
527780.01,2261461.01,248.221161
527780.01,2261561.01,249.614944
527780.01,2261661.01,253.585213
527780.01,2261761.01,253.668915
527780.01,2261861.01,255.100555
527780.01,2261961.01,257.023071
527780.01,2262061.01,257.586037
527780.01,2262161.01,257.397903
527780.01,2262261.01,253.753166
527780.01,2262361.01,251.073959
527780.01,2262461.01,250.685776
527780.01,2262561.01,251.757721
527780.01,2262661.01,251.551758
527780.01,2262761.01,254.143845
527780.01,2262861.01,256.94799
527780.01,2262961.01,257.04393
527780.01,2263061.01,259.347198
527780.01,2263161.01,259.604752
527780.01,2263261.01,258.870346
527780.01,2263361.01,259.392975
