"X","Y","H02_TBeauce (TWT)"
526980.01,2262461.01,-32.234119415
526980.01,2262561.01,-32.597640991
526980.01,2262661.01,-33.14100647
526980.01,2262761.01,-33.351860046
526980.01,2262861.01,-33.83575058
526980.01,2262961.01,-34.218158722
526980.01,2263061.01,-34.43503952
526980.01,2263161.01,-35.0001297
526980.01,2263261.01,-34.210998535
526980.01,2263361.01,-34.046085358
526980.01,2263461.01,-33.421798706
526980.01,2263561.01,-32.597930908
526980.01,2263661.01,-32.619182587
526980.01,2263761.01,-32.7501297
526980.01,2263861.01,-30.558351517
526980.01,2263961.01,-29.853696823
526980.01,2264061.01,-25.355350494
526980.01,2264161.01,-27.890516281
526980.01,2264261.01,-31.845811844
526980.01,2264361.01,-33.309314728
526980.01,2264461.01,-32.127906799
526980.01,2264561.01,-28.817300797
526980.01,2264661.01,-25.006738663
526980.01,2264761.01,-26.291841507
526980.01,2264861.01,-28.630407333
526980.01,2264961.01,-30.757972717
526980.01,2265061.01,-31.776353836
526980.01,2265161.01,-32.461750031
526980.01,2265261.01,-33.306095123
526980.01,2265361.01,-33.803394318
527080.01,2261261.01,-30.065879822
527080.01,2261361.01,-29.79573822
527080.01,2261461.01,-29.729925156
527080.01,2261561.01,-30.298490524
527080.01,2261661.01,-31.411460876
527080.01,2261761.01,-32.49395752
527080.01,2261861.01,-33.62984848
527080.01,2261961.01,-34.009094238
527080.01,2262061.01,-33.960899353
527080.01,2262161.01,-33.894271851
527080.01,2262261.01,-33.601779938
527080.01,2262361.01,-33.09053421
527080.01,2262461.01,-33.197807312
527080.01,2262561.01,-33.80210495
527080.01,2262661.01,-34.039806366
527080.01,2262761.01,-34.213035583
527080.01,2262861.01,-34.597869873
527080.01,2262961.01,-34.948589325
527080.01,2263061.01,-35.130355835
527080.01,2263161.01,-35.088745117
527080.01,2263261.01,-34.054748535
527080.01,2263361.01,-34.263225555
527080.01,2263461.01,-34.143878937
527080.01,2263561.01,-33.429553986
527080.01,2263661.01,-32.984767914
527080.01,2263761.01,-32.681446075
527080.01,2263861.01,-30.635705948
527080.01,2263961.01,-29.064054489
527080.01,2264061.01,-25.531421661
527080.01,2264161.01,-27.929740906
527080.01,2264261.01,-31.548757553
527080.01,2264361.01,-34.182792664
527080.01,2264461.01,-33.767967224
527080.01,2264561.01,-31.208398819
527080.01,2264661.01,-27.490053177
527080.01,2264761.01,-27.503738403
527080.01,2264861.01,-29.965143204
527080.01,2264961.01,-31.587533951
527080.01,2265061.01,-32.143291473
527080.01,2265161.01,-32.618503571
527080.01,2265261.01,-33.747009277
527080.01,2265361.01,-34.21913147
527080.01,2265461.01,-34.880371094
527080.01,2265561.01,-35.880989075
527080.01,2265661.01,-36.980106354
527080.01,2265761.01,-37.933856964
527180.01,2261261.01,-30.006134033
527180.01,2261361.01,-29.773626328
527180.01,2261461.01,-29.632566452
527180.01,2261561.01,-29.960432053
527180.01,2261661.01,-31.153198242
527180.01,2261761.01,-32.716152191
527180.01,2261861.01,-34.093101501
527180.01,2261961.01,-34.791503906
527180.01,2262061.01,-34.868209839
