"X","Y","H10_Portl (TWT)"
527580.01,2264261.01,211.105095
527580.01,2264361.01,213.419037
527580.01,2264461.01,217.707581
527580.01,2264561.01,224.215759
527580.01,2264661.01,226.003067
527580.01,2264761.01,229.549747
527580.01,2264861.01,232.749016
527580.01,2264961.01,234.398575
527580.01,2265061.01,237.575439
527580.01,2265161.01,240.402596
527580.01,2265261.01,241.988708
527580.01,2265361.01,244.946754
527580.01,2265461.01,247.242638
527580.01,2265561.01,247.921494
527580.01,2265661.01,248.764053
527580.01,2265761.01,248.957146
527580.01,2265861.01,247.699478
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,193.75787
527680.01,2261361.01,194.487236
527680.01,2261461.01,193.38707
527680.01,2261561.01,191.340698
527680.01,2261661.01,193.713806
527680.01,2261761.01,194.230507
527680.01,2261861.01,194.652431
527680.01,2261961.01,196.848427
527680.01,2262061.01,197.291634
527680.01,2262161.01,198.090088
527680.01,2262261.01,197.028511
527680.01,2262361.01,196.726349
527680.01,2262461.01,198.850471
527680.01,2262561.01,199.747368
527680.01,2262661.01,200.427597
527680.01,2262761.01,202.500648
527680.01,2262861.01,203.281281
527680.01,2262961.01,202.816292
527680.01,2263061.01,203.623001
527680.01,2263161.01,205.592262
527680.01,2263261.01,205.962326
527680.01,2263361.01,204.837555
527680.01,2263461.01,203.390686
527680.01,2263561.01,202.198395
527680.01,2263661.01,201.624176
527680.01,2263761.01,201.858372
527680.01,2263861.01,203.779713
527680.01,2263961.01,205.314468
527680.01,2264061.01,206.005081
527680.01,2264161.01,207.233398
527680.01,2264261.01,208.459801
527680.01,2264361.01,210.81591
527680.01,2264461.01,214.436573
527680.01,2264561.01,216.82193
527680.01,2264661.01,222.607361
527680.01,2264761.01,226.779907
527680.01,2264861.01,227.761372
527680.01,2264961.01,231.878876
527680.01,2265061.01,235.634754
527680.01,2265161.01,238.57629
527680.01,2265261.01,240.205795
527680.01,2265361.01,243.816185
527680.01,2265461.01,244.565948
527680.01,2265561.01,237.884445
527680.01,2265661.01,237.949699
527680.01,2265761.01,241.036747
527680.01,2265861.01,238.062851
527680.01,2265961.01,234.191399
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,197.407715
527780.01,2261261.01,194.508453
527780.01,2261361.01,194.708473
527780.01,2261461.01,194.724937
527780.01,2261561.01,193.318649
527780.01,2261661.01,194.237701
527780.01,2261761.01,195.279541
527780.01,2261861.01,195.794731
527780.01,2261961.01,195.166031
527780.01,2262061.01,194.932426
527780.01,2262161.01,196.295601
527780.01,2262261.01,195.08688
527780.01,2262361.01,193.639511
527780.01,2262461.01,194.095367
527780.01,2262561.01,196.335159
527780.01,2262661.01,197.328339
527780.01,2262761.01,199.194305
527780.01,2262861.01,200.486473
527780.01,2262961.01,198.414604
527780.01,2263061.01,198.663864
527780.01,2263161.01,200.562988
527780.01,2263261.01,199.783348
527780.01,2263361.01,199.335773
527780.01,2263461.01,199.21492
527780.01,2263561.01,199.46064
527780.01,2263661.01,199.504105
527780.01,2263761.01,200.428024
527780.01,2263861.01,202.625763
527780.01,2263961.01,204.167286
527780.01,2264061.01,205.276108
527780.01,2264161.01,206.557728
527780.01,2264261.01,208.00132
527780.01,2264361.01,210.01535
527780.01,2264461.01,212.732094
527780.01,2264561.01,213.842918
527780.01,2264661.01,217.780304
527780.01,2264761.01,222.680321
527780.01,2264861.01,224.513542
527780.01,2264961.01,228.823563
527780.01,2265061.01,233.515945
527780.01,2265161.01,235.200844
527780.01,2265261.01,238.351704
527780.01,2265361.01,241.523163
527780.01,2265461.01,236.384857
527780.01,2265561.01,214.807106
527780.01,2265661.01,220.663956
527780.01,2265761.01,227.119957
527780.01,2265861.01,225.407974
527780.01,2265961.01,224.89695
527780.01,2266061.01,222.004044
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,200.817772
527880.01,2261261.01,198.754478
527880.01,2261361.01,198.309715
527880.01,2261461.01,198.346283
527880.01,2261561.01,197.209229
527880.01,2261661.01,196.600983
527880.01,2261761.01,196.59565
527880.01,2261861.01,195.761467
527880.01,2261961.01,195.017845
527880.01,2262061.01,194.694595
527880.01,2262161.01,194.677124
527880.01,2262261.01,192.737015
527880.01,2262361.01,191.721756
527880.01,2262461.01,191.745754
527880.01,2262561.01,193.301224
527880.01,2262661.01,193.690338
527880.01,2262761.01,195.018402
527880.01,2262861.01,195.736183
527880.01,2262961.01,195.060913
527880.01,2263061.01,196.009186
527880.01,2263161.01,197.304733
527880.01,2263261.01,197.27993
527880.01,2263361.01,195.587807
527880.01,2263461.01,196.638672
527880.01,2263561.01,196.279526
527880.01,2263661.01,197.414223
527880.01,2263761.01,199.024704
527880.01,2263861.01,200.016479
527880.01,2263961.01,201.981888
527880.01,2264061.01,203.678894
527880.01,2264161.01,206.335793
527880.01,2264261.01,207.684196
527880.01,2264361.01,208.861755
527880.01,2264461.01,211.08873
527880.01,2264561.01,212.276413
527880.01,2264661.01,214.066635
527880.01,2264761.01,218.632553
527880.01,2264861.01,221.462528
527880.01,2264961.01,225.42379
527880.01,2265061.01,229.663471
527880.01,2265161.01,227.358383
527880.01,2265261.01,221.532066
527880.01,2265361.01,213.502823
527880.01,2265461.01,207.927834
527880.01,2265561.01,210.338463
527880.01,2265661.01,214.290627
527880.01,2265761.01,219.817459
527880.01,2265861.01,219.408653
527880.01,2265961.01,217.643059
527880.01,2266061.01,218.856384
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,215.272865
527980.01,2261261.01,209.771362
527980.01,2261361.01,208.719364
527980.01,2261461.01,202.557762
527980.01,2261561.01,200.371075
527980.01,2261661.01,200.188705
527980.01,2261761.01,199.358955
527980.01,2261861.01,197.055252
527980.01,2261961.01,195.829102
527980.01,2262061.01,194.34008
527980.01,2262161.01,192.808758
527980.01,2262261.01,190.859848
527980.01,2262361.01,190.331818
527980.01,2262461.01,189.321899
527980.01,2262561.01,188.906464
527980.01,2262661.01,188.858704
527980.01,2262761.01,190.635445
527980.01,2262861.01,192.176682
527980.01,2262961.01,192.058624
527980.01,2263061.01,192.803574
527980.01,2263161.01,193.576813
527980.01,2263261.01,193.91914
527980.01,2263361.01,194.384506
527980.01,2263461.01,194.767189
527980.01,2263561.01,194.469849
527980.01,2263661.01,195.76992
527980.01,2263761.01,196.508842
527980.01,2263861.01,197.120331
527980.01,2263961.01,199.045403
527980.01,2264061.01,200.995239
527980.01,2264161.01,202.426826
527980.01,2264261.01,205.530853
527980.01,2264361.01,207.220978
527980.01,2264461.01,209.107712
527980.01,2264561.01,210.028992
527980.01,2264661.01,212.885811
527980.01,2264761.01,217.5481
527980.01,2264861.01,218.282104
527980.01,2264961.01,216.827538
527980.01,2265061.01,207.07579
527980.01,2265161.01,205.560883
527980.01,2265261.01,206.16972
527980.01,2265361.01,206.39315
527980.01,2265461.01,206.412315
527980.01,2265561.01,208.478516
527980.01,2265661.01,211.365471
527980.01,2265761.01,212.697899
527980.01,2265861.01,214.198341
527980.01,2265961.01,215.484276
527980.01,2266061.01,217.387924
527980.01,2266161.01,219.438126
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,223.337525
528080.01,2261161.01,222.605774
528080.01,2261261.01,224.841282
528080.01,2261361.01,225.154297
528080.01,2261461.01,214.480568
528080.01,2261561.01,208.485374
528080.01,2261661.01,205.501534
528080.01,2261761.01,199.736702
528080.01,2261861.01,196.60804
528080.01,2261961.01,194.311745
528080.01,2262061.01,192.166
528080.01,2262161.01,188.887428
528080.01,2262261.01,186.874474
528080.01,2262361.01,187.229858
528080.01,2262461.01,187.51516
528080.01,2262561.01,186.305313
528080.01,2262661.01,186.798233
528080.01,2262761.01,188.077995
528080.01,2262861.01,188.056747
528080.01,2262961.01,189.84243
528080.01,2263061.01,190.442219
528080.01,2263161.01,191.407097
528080.01,2263261.01,191.195084
528080.01,2263361.01,192.647461
528080.01,2263461.01,193.354675
528080.01,2263561.01,193.749191
528080.01,2263661.01,194.388588
528080.01,2263761.01,194.848663
528080.01,2263861.01,195.037071
528080.01,2263961.01,196.393326
528080.01,2264061.01,198.948792
528080.01,2264161.01,200.697819
528080.01,2264261.01,203.368652
528080.01,2264361.01,205.575092
528080.01,2264461.01,205.979172
528080.01,2264561.01,205.963203
528080.01,2264661.01,205.573303
528080.01,2264761.01,203.665321
528080.01,2264861.01,200.104752
528080.01,2264961.01,200.60392
528080.01,2265061.01,203.186699
528080.01,2265161.01,204.670654
528080.01,2265261.01,206.59758
528080.01,2265361.01,206.608307
528080.01,2265461.01,205.860218
528080.01,2265561.01,205.977203
528080.01,2265661.01,208.968288
528080.01,2265761.01,209.996597
528080.01,2265861.01,212.20372
528080.01,2265961.01,215.793335
528080.01,2266061.01,217.076702
528080.01,2266161.01,219.385612
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,228.727982
528180.01,2261161.01,227.567963
528180.01,2261261.01,229.700893
528180.01,2261361.01,234.18766
528180.01,2261461.01,235.041882
528180.01,2261561.01,231.301552
528180.01,2261661.01,227.620361
528180.01,2261761.01,204.888351
528180.01,2261861.01,195.840981
528180.01,2261961.01,193.414036
528180.01,2262061.01,190.27227
528180.01,2262161.01,186.84304
528180.01,2262261.01,185.354111
528180.01,2262361.01,184.334251
528180.01,2262461.01,183.170059
528180.01,2262561.01,182.894131
528180.01,2262661.01,184.903076
528180.01,2262761.01,186.016693
528180.01,2262861.01,186.126007
528180.01,2262961.01,187.615112
528180.01,2263061.01,188.598053
528180.01,2263161.01,188.559544
528180.01,2263261.01,187.226219
528180.01,2263361.01,189.447594
528180.01,2263461.01,191.055214
528180.01,2263561.01,191.295517
528180.01,2263661.01,192.53968
528180.01,2263761.01,192.470032
528180.01,2263861.01,192.614223
528180.01,2263961.01,195.760063
528180.01,2264061.01,198.639442
528180.01,2264161.01,200.703644
528180.01,2264261.01,201.537231
528180.01,2264361.01,203.300949
528180.01,2264461.01,202.27726
528180.01,2264561.01,199.482452
528180.01,2264661.01,198.194252
528180.01,2264761.01,196.908249
528180.01,2264861.01,198.02977
528180.01,2264961.01,199.586525
528180.01,2265061.01,201.158348
528180.01,2265161.01,204.106449
528180.01,2265261.01,206.194954
528180.01,2265361.01,206.53038
528180.01,2265461.01,205.425049
528180.01,2265561.01,204.956017
528180.01,2265661.01,207.509842
528180.01,2265761.01,209.000359
528180.01,2265861.01,210.993572
