"X","Y","H01_T20m (TWT)"
527280.01,2264161.01,-32.429889679
527280.01,2264261.01,-36.633865356
527280.01,2264361.01,-40.340995789
527280.01,2264461.01,-41.955028534
527280.01,2264561.01,-41.206012726
527280.01,2264661.01,-38.055732727
527280.01,2264761.01,-29.826496124
527280.01,2264861.01,-29.970748901
527280.01,2264961.01,-32.516399384
527280.01,2265061.01,-34.708614349
527280.01,2265161.01,-36.785663605
527280.01,2265261.01,-37.277244568
527280.01,2265361.01,-37.18680191
527280.01,2265461.01,-39.368465424
527280.01,2265561.01,-40.594882965
527280.01,2265661.01,-42.788780212
527280.01,2265761.01,-43.780223846
527280.01,2265861.01,-44.557273865
527380.01,2261161.01,-33.85269928
527380.01,2261261.01,-34.234264374
527380.01,2261361.01,-34.299995422
527380.01,2261461.01,-33.746948242
527380.01,2261561.01,-33.667133331
527380.01,2261661.01,-36.427207947
527380.01,2261761.01,-38.707553864
527380.01,2261861.01,-41.02538681
527380.01,2261961.01,-42.68000412
527380.01,2262061.01,-41.79750061
527380.01,2262161.01,-40.775753021
527380.01,2262261.01,-41.453582764
527380.01,2262361.01,-41.783863068
527380.01,2262461.01,-41.830165863
527380.01,2262561.01,-44.615383148
527380.01,2262661.01,-46.57774353
527380.01,2262761.01,-46.755657196
527380.01,2262861.01,-46.452503204
527380.01,2262961.01,-46.69593811
527380.01,2263061.01,-46.145389557
527380.01,2263161.01,-44.480712891
527380.01,2263261.01,-44.163894653
527380.01,2263361.01,-42.7315979
527380.01,2263461.01,-41.750564575
527380.01,2263561.01,-41.610363007
527380.01,2263661.01,-38.689559937
527380.01,2263761.01,-35.600151062
527380.01,2263861.01,-34.219364166
527380.01,2263961.01,-30.692728043
527380.01,2264061.01,-29.868843079
527380.01,2264161.01,-35.022964478
527380.01,2264261.01,-39.931884766
527380.01,2264361.01,-41.705718994
527380.01,2264461.01,-42.62833786
527380.01,2264561.01,-43.242446899
527380.01,2264661.01,-39.450183868
527380.01,2264761.01,-33.734653473
527380.01,2264861.01,-32.57529068
527380.01,2264961.01,-32.139408112
527380.01,2265061.01,-32.765331268
527380.01,2265161.01,-35.498451233
527380.01,2265261.01,-37.266357422
527380.01,2265361.01,-36.240413666
527380.01,2265461.01,-36.851699829
527380.01,2265561.01,-37.970157623
527380.01,2265661.01,-40.367771149
527380.01,2265761.01,-41.718509674
527380.01,2265861.01,-42.74943924
527380.01,2265961.01,-43.647407532
527480.01,2261161.01,-31.785842896
527480.01,2261261.01,-33.112236023
527480.01,2261361.01,-33.050045013
527480.01,2261461.01,-32.26436615
527480.01,2261561.01,-32.214122772
527480.01,2261661.01,-34.375156403
527480.01,2261761.01,-36.810379028
527480.01,2261861.01,-39.912548065
527480.01,2261961.01,-42.043777466
527480.01,2262061.01,-42.958282471
527480.01,2262161.01,-41.976631165
527480.01,2262261.01,-41.942886353
527480.01,2262361.01,-42.425300598
527480.01,2262461.01,-41.64691925
527480.01,2262561.01,-44.043365479
527480.01,2262661.01,-46.463005066
527480.01,2262761.01,-46.694839478
527480.01,2262861.01,-46.708271027
527480.01,2262961.01,-46.928817749
527480.01,2263061.01,-46.306060791
527480.01,2263161.01,-45.014415741
527480.01,2263261.01,-45.099452972
527480.01,2263361.01,-43.744163513
