"X","Y","H40_Batho (TWT)"
527480.01,2261861.01,585.620392
527480.01,2261961.01,584.923676
527480.01,2262061.01,582.446533
527480.01,2262161.01,582.959778
527480.01,2262261.01,584.742981
527480.01,2262361.01,586.4328
527480.01,2262461.01,588.005127
527480.01,2262561.01,592.601608
527480.01,2262661.01,594.889587
527480.01,2262761.01,595.813812
527480.01,2262861.01,594.409668
527480.01,2262961.01,594.05835
527480.01,2263061.01,593.054504
527480.01,2263161.01,581.904877
527480.01,2263261.01,573.011917
527480.01,2263361.01,571.9729
527480.01,2263461.01,567.974518
527480.01,2263561.01,566.847717
527480.01,2263661.01,566.741837
527480.01,2263761.01,568.081482
527480.01,2263861.01,569.582657
527480.01,2263961.01,570.397949
527480.01,2264061.01,573.673553
527480.01,2264161.01,578.843628
527480.01,2264261.01,586.567871
527480.01,2264361.01,591.410934
527480.01,2264461.01,599.39856
527480.01,2264561.01,605.420837
527480.01,2264661.01,609.399719
527480.01,2264761.01,616.665619
527480.01,2264861.01,623.426514
527480.01,2264961.01,626.233887
527480.01,2265061.01,629.490112
527480.01,2265161.01,631.388489
527480.01,2265261.01,633.351807
527480.01,2265361.01,636.17984
527480.01,2265461.01,635.579773
527480.01,2265561.01,623.23233
527480.01,2265661.01,617.749207
527480.01,2265761.01,609.56311
527480.01,2265861.01,605.016968
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,578.643311
527580.01,2261361.01,579.9151
527580.01,2261461.01,580.292465
527580.01,2261561.01,582.894623
527580.01,2261661.01,584.909851
527580.01,2261761.01,585.401733
527580.01,2261861.01,585.849396
527580.01,2261961.01,585.509827
527580.01,2262061.01,583.01004
527580.01,2262161.01,583.097031
527580.01,2262261.01,584.430481
527580.01,2262361.01,585.125153
527580.01,2262461.01,586.429443
527580.01,2262561.01,589.9328
527580.01,2262661.01,593.041931
527580.01,2262761.01,594.111374
527580.01,2262861.01,596.379578
527580.01,2262961.01,598.21376
527580.01,2263061.01,598.986694
527580.01,2263161.01,601.424042
527580.01,2263261.01,593.712769
527580.01,2263361.01,597.970276
527580.01,2263461.01,584.389404
527580.01,2263561.01,569.984833
527580.01,2263661.01,568.253693
527580.01,2263761.01,565.423401
527580.01,2263861.01,566.246796
527580.01,2263961.01,568.080536
527580.01,2264061.01,571.63092
527580.01,2264161.01,576.036011
527580.01,2264261.01,579.264923
527580.01,2264361.01,587.003418
527580.01,2264461.01,595.768036
527580.01,2264561.01,602.696777
527580.01,2264661.01,607.871857
527580.01,2264761.01,615.781097
527580.01,2264861.01,622.60614
527580.01,2264961.01,626.480408
527580.01,2265061.01,631.935364
527580.01,2265161.01,632.09967
527580.01,2265261.01,628.495575
527580.01,2265361.01,624.4664
527580.01,2265461.01,617.819305
527580.01,2265561.01,612.953949
527580.01,2265661.01,609.789124
527580.01,2265761.01,606.448822
527580.01,2265861.01,604.242249
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,577.138138
527680.01,2261361.01,577.979858
527680.01,2261461.01,578.952423
527680.01,2261561.01,581.699402
527680.01,2261661.01,583.909576
527680.01,2261761.01,584.170746
527680.01,2261861.01,585.504272
527680.01,2261961.01,585.014496
527680.01,2262061.01,582.472992
527680.01,2262161.01,582.736633
527680.01,2262261.01,583.901123
527680.01,2262361.01,584.468506
527680.01,2262461.01,585.524673
527680.01,2262561.01,588.507507
527680.01,2262661.01,590.210144
527680.01,2262761.01,592.856445
527680.01,2262861.01,594.618713
527680.01,2262961.01,594.771225
527680.01,2263061.01,595.580963
527680.01,2263161.01,597.806519
527680.01,2263261.01,599.876007
527680.01,2263361.01,598.847778
527680.01,2263461.01,596.048828
527680.01,2263561.01,587.838287
527680.01,2263661.01,585.469177
527680.01,2263761.01,575.225891
527680.01,2263861.01,575.980896
527680.01,2263961.01,576.516479
527680.01,2264061.01,574.207611
527680.01,2264161.01,576.631531
527680.01,2264261.01,579.773788
527680.01,2264361.01,584.632599
527680.01,2264461.01,591.341995
527680.01,2264561.01,596.706604
527680.01,2264661.01,606.397858
527680.01,2264761.01,613.766724
527680.01,2264861.01,616.856262
527680.01,2264961.01,622.079102
527680.01,2265061.01,625.696854
527680.01,2265161.01,612.482483
527680.01,2265261.01,608.629944
527680.01,2265361.01,608.865967
527680.01,2265461.01,609.210999
527680.01,2265561.01,608.120026
527680.01,2265661.01,605.383209
527680.01,2265761.01,603.537918
527680.01,2265861.01,601.293701
527680.01,2265961.01,601.054291
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,576.511841
527780.01,2261261.01,576.698486
527780.01,2261361.01,576.338242
527780.01,2261461.01,577.594849
527780.01,2261561.01,579.701187
527780.01,2261661.01,579.713776
527780.01,2261761.01,581.965088
527780.01,2261861.01,584.07782
527780.01,2261961.01,581.6297
527780.01,2262061.01,580.592819
527780.01,2262161.01,582.054962
527780.01,2262261.01,583.276413
527780.01,2262361.01,583.788635
527780.01,2262461.01,585.507019
527780.01,2262561.01,587.65863
527780.01,2262661.01,588.980774
527780.01,2262761.01,591.826691
527780.01,2262861.01,593.73642
527780.01,2262961.01,593.346466
527780.01,2263061.01,593.938782
527780.01,2263161.01,594.148895
527780.01,2263261.01,593.897491
527780.01,2263361.01,594.017136
527780.01,2263461.01,593.761505
527780.01,2263561.01,592.094833
527780.01,2263661.01,591.90802
527780.01,2263761.01,589.715515
527780.01,2263861.01,588.462036
527780.01,2263961.01,589.298462
527780.01,2264061.01,586.69809
527780.01,2264161.01,583.384506
527780.01,2264261.01,592.620117
527780.01,2264361.01,591.270386
527780.01,2264461.01,591.566986
527780.01,2264561.01,595.521667
527780.01,2264661.01,602.506775
527780.01,2264761.01,608.245392
527780.01,2264861.01,609.993652
527780.01,2264961.01,612.054687
527780.01,2265061.01,611.918182
527780.01,2265161.01,607.581726
527780.01,2265261.01,603.926865
527780.01,2265361.01,604.60788
527780.01,2265461.01,604.59758
527780.01,2265561.01,600.135925
527780.01,2265661.01,598.960632
527780.01,2265761.01,599.974091
527780.01,2265861.01,600.89151
527780.01,2265961.01,602.021362
527780.01,2266061.01,602.655396
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,585.725922
527880.01,2261261.01,580.301483
