"X","Y","H70_Arg_Lev (TWT)"
527380.01,2265461.01,742.109949
527380.01,2265561.01,757.111759
527380.01,2265661.01,748.47215
527380.01,2265761.01,739.042518
527380.01,2265861.01,733.726991
527380.01,2265961.01,729.939902
527480.01,2261161.01,-9999
527480.01,2261261.01,725.457746
527480.01,2261361.01,724.569006
527480.01,2261461.01,724.227346
527480.01,2261561.01,725.569753
527480.01,2261661.01,728.805949
527480.01,2261761.01,729.638234
527480.01,2261861.01,730.249319
527480.01,2261961.01,727.814027
527480.01,2262061.01,725.754097
527480.01,2262161.01,722.852149
527480.01,2262261.01,706.595829
527480.01,2262361.01,704.433788
527480.01,2262461.01,709.638415
527480.01,2262561.01,708.015536
527480.01,2262661.01,682.573435
527480.01,2262761.01,684.643809
527480.01,2262861.01,680.86278
527480.01,2262961.01,680.719936
527480.01,2263061.01,680.128135
527480.01,2263161.01,682.073699
527480.01,2263261.01,683.831659
527480.01,2263361.01,683.029083
527480.01,2263461.01,680.702657
527480.01,2263561.01,679.174627
527480.01,2263661.01,680.114692
527480.01,2263761.01,681.119808
527480.01,2263861.01,683.013038
527480.01,2263961.01,684.713777
527480.01,2264061.01,686.555601
527480.01,2264161.01,692.774388
527480.01,2264261.01,700.95802
527480.01,2264361.01,704.517673
527480.01,2264461.01,712.117274
527480.01,2264561.01,718.946635
527480.01,2264661.01,723.384218
527480.01,2264761.01,729.806601
527480.01,2264861.01,738.255685
527480.01,2264961.01,741.942743
527480.01,2265061.01,742.851861
527480.01,2265161.01,745.713845
527480.01,2265261.01,747.7718
527480.01,2265361.01,750.631641
527480.01,2265461.01,740.193548
527480.01,2265561.01,729.228347
527480.01,2265661.01,724.784403
527480.01,2265761.01,726.02485
527480.01,2265861.01,721.397515
527480.01,2265961.01,721.129443
527580.01,2261161.01,719.728638
527580.01,2261261.01,720.095655
527580.01,2261361.01,722.96358
527580.01,2261461.01,720.800937
527580.01,2261561.01,725.788673
527580.01,2261661.01,728.574277
527580.01,2261761.01,728.518433
527580.01,2261861.01,731.232077
527580.01,2261961.01,729.838187
527580.01,2262061.01,729.558521
527580.01,2262161.01,724.591543
527580.01,2262261.01,721.770424
527580.01,2262361.01,721.706182
527580.01,2262461.01,724.691126
527580.01,2262561.01,729.221864
527580.01,2262661.01,732.015733
527580.01,2262761.01,733.088021
527580.01,2262861.01,734.64924
527580.01,2262961.01,713.4386
527580.01,2263061.01,707.062417
527580.01,2263161.01,687.942991
527580.01,2263261.01,684.366212
527580.01,2263361.01,680.327553
527580.01,2263461.01,679.293859
527580.01,2263561.01,679.434763
527580.01,2263661.01,678.825774
527580.01,2263761.01,679.613236
527580.01,2263861.01,681.086692
527580.01,2263961.01,681.305934
527580.01,2264061.01,684.858347
527580.01,2264161.01,687.446157
527580.01,2264261.01,690.026004
527580.01,2264361.01,696.679622
527580.01,2264461.01,709.467406
527580.01,2264561.01,716.575749
527580.01,2264661.01,721.949164
527580.01,2264761.01,727.971609
527580.01,2264861.01,735.713975
527580.01,2264961.01,738.440706
527580.01,2265061.01,739.440393
527580.01,2265161.01,732.435899
527580.01,2265261.01,727.33233
527580.01,2265361.01,725.971295
527580.01,2265461.01,727.842468
527580.01,2265561.01,726.614205
527580.01,2265661.01,721.667249
527580.01,2265761.01,721.096303
527580.01,2265861.01,718.94606
527580.01,2265961.01,719.11229
527580.01,2266061.01,721.250989
527680.01,2261061.01,-9999
527680.01,2261161.01,711.54657
527680.01,2261261.01,714.304137
527680.01,2261361.01,719.501362
527680.01,2261461.01,717.238156
527680.01,2261561.01,721.032994
527680.01,2261661.01,725.277564
527680.01,2261761.01,724.032931
527680.01,2261861.01,725.953584
527680.01,2261961.01,725.368427
527680.01,2262061.01,723.825854
527680.01,2262161.01,721.544191
527680.01,2262261.01,722.269006
527680.01,2262361.01,723.60105
527680.01,2262461.01,724.242166
527680.01,2262561.01,727.537042
527680.01,2262661.01,729.506779
527680.01,2262761.01,732.627934
527680.01,2262861.01,732.328562
527680.01,2262961.01,730.99631
527680.01,2263061.01,732.215946
527680.01,2263161.01,738.620737
527680.01,2263261.01,717.876266
527680.01,2263361.01,717.230517
527680.01,2263461.01,683.310218
527680.01,2263561.01,677.339638
527680.01,2263661.01,677.884825
527680.01,2263761.01,678.565511
527680.01,2263861.01,681.413236
527680.01,2263961.01,683.377744
527680.01,2264061.01,687.435454
527680.01,2264161.01,689.788842
527680.01,2264261.01,693.447718
527680.01,2264361.01,696.992253
527680.01,2264461.01,703.552683
527680.01,2264561.01,710.229009
527680.01,2264661.01,719.289683
527680.01,2264761.01,726.153316
527680.01,2264861.01,728.271867
527680.01,2264961.01,731.149616
527680.01,2265061.01,723.028809
527680.01,2265161.01,721.91861
527680.01,2265261.01,722.291081
527680.01,2265361.01,723.679099
527680.01,2265461.01,723.83648
527680.01,2265561.01,723.070363
527680.01,2265661.01,721.379441
527680.01,2265761.01,719.89802
527680.01,2265861.01,718.606903
527680.01,2265961.01,721.069848
527680.01,2266061.01,720.718054
527680.01,2266161.01,721.231553
527780.01,2261061.01,-9999
527780.01,2261161.01,714.261922
527780.01,2261261.01,711.979424
527780.01,2261361.01,712.921088
527780.01,2261461.01,713.83736
527780.01,2261561.01,718.919944
527780.01,2261661.01,718.281938
527780.01,2261761.01,718.516104
527780.01,2261861.01,720.278439
527780.01,2261961.01,719.534563
527780.01,2262061.01,718.872823
527780.01,2262161.01,720.735965
527780.01,2262261.01,720.722967
527780.01,2262361.01,720.773456
527780.01,2262461.01,720.306767
527780.01,2262561.01,725.09836
527780.01,2262661.01,724.248763
527780.01,2262761.01,725.795903
527780.01,2262861.01,729.727174
527780.01,2262961.01,729.270714
527780.01,2263061.01,730.076051
527780.01,2263161.01,731.021659
527780.01,2263261.01,731.050755
527780.01,2263361.01,732.645437
527780.01,2263461.01,732.546248
527780.01,2263561.01,711.541794
527780.01,2263661.01,702.577371
527780.01,2263761.01,683.796779
527780.01,2263861.01,686.175184
527780.01,2263961.01,688.685823
527780.01,2264061.01,688.586195
527780.01,2264161.01,692.040837
527780.01,2264261.01,693.158189
527780.01,2264361.01,697.391112
527780.01,2264461.01,702.058126
527780.01,2264561.01,705.441643
527780.01,2264661.01,713.959884
527780.01,2264761.01,722.623423
527780.01,2264861.01,725.516955
527780.01,2264961.01,726.698941
527780.01,2265061.01,717.4731
527780.01,2265161.01,716.448323
527780.01,2265261.01,717.248114
527780.01,2265361.01,719.403338
527780.01,2265461.01,720.811122
527780.01,2265561.01,718.208446
527780.01,2265661.01,717.501019
527780.01,2265761.01,717.42021
527780.01,2265861.01,720.049809
527780.01,2265961.01,722.801973
527780.01,2266061.01,719.384074
527780.01,2266161.01,719.82608
527880.01,2261061.01,719.569397
527880.01,2261161.01,711.400904
527880.01,2261261.01,713.647573
527880.01,2261361.01,716.090725
527880.01,2261461.01,716.048221
527880.01,2261561.01,714.384995
527880.01,2261661.01,711.580578
527880.01,2261761.01,714.862441
527880.01,2261861.01,717.899925
527880.01,2261961.01,720.310572
527880.01,2262061.01,719.682518
527880.01,2262161.01,718.551995
527880.01,2262261.01,720.742371
527880.01,2262361.01,719.742346
527880.01,2262461.01,716.380069
527880.01,2262561.01,718.648682
527880.01,2262661.01,719.299499
527880.01,2262761.01,722.512924
527880.01,2262861.01,723.92381
527880.01,2262961.01,722.908952
527880.01,2263061.01,724.373902
527880.01,2263161.01,726.404594
527880.01,2263261.01,725.098965
527880.01,2263361.01,727.10103
527880.01,2263461.01,728.76939
527880.01,2263561.01,723.607619
527880.01,2263661.01,718.947016
527880.01,2263761.01,702.520375
527880.01,2263861.01,704.100219
527880.01,2263961.01,705.813337
527880.01,2264061.01,705.539061
527880.01,2264161.01,699.961912
527880.01,2264261.01,701.196772
527880.01,2264361.01,697.922555
527880.01,2264461.01,703.096133
527880.01,2264561.01,707.751536
527880.01,2264661.01,711.806338
527880.01,2264761.01,715.302985
