"X","Y","H04_Cenom (TWT)"
527580.01,2262461.01,80.3056564
527580.01,2262561.01,82.5685272
527580.01,2262661.01,85.4281387
527580.01,2262761.01,86.1602859
527580.01,2262861.01,87.5178032
527580.01,2262961.01,89.708107
527580.01,2263061.01,90.5181732
527580.01,2263161.01,91.2235336
527580.01,2263261.01,90.5128632
527580.01,2263361.01,88.1078377
527580.01,2263461.01,86.5270557
527580.01,2263561.01,84.9156609
527580.01,2263661.01,83.7008743
527580.01,2263761.01,84.5326767
527580.01,2263861.01,85.6172371
527580.01,2263961.01,86.5041618
527580.01,2264061.01,88.9213848
527580.01,2264161.01,91.1224213
527580.01,2264261.01,91.7659874
527580.01,2264361.01,94.8737411
527580.01,2264461.01,98.5749168
527580.01,2264561.01,103.811989
527580.01,2264661.01,105.456585
527580.01,2264761.01,109.451708
527580.01,2264861.01,112.405609
527580.01,2264961.01,112.9189
527580.01,2265061.01,115.389191
527580.01,2265161.01,117.061481
527580.01,2265261.01,116.350677
527580.01,2265361.01,113.009272
527580.01,2265461.01,109.22963
527580.01,2265561.01,106.854618
527580.01,2265661.01,106.410828
527580.01,2265761.01,107.713943
527580.01,2265861.01,107.87606
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,74.5268478
527680.01,2261361.01,73.5058632
527680.01,2261461.01,72.0914383
527680.01,2261561.01,70.7305527
527680.01,2261661.01,73.121109
527680.01,2261761.01,74.7773323
527680.01,2261861.01,76.4610195
527680.01,2261961.01,77.0860481
527680.01,2262061.01,76.9651146
527680.01,2262161.01,76.513237
527680.01,2262261.01,75.1395721
527680.01,2262361.01,75.0138588
527680.01,2262461.01,76.9975376
527680.01,2262561.01,78.2929497
527680.01,2262661.01,78.9850616
527680.01,2262761.01,81.5972176
527680.01,2262861.01,82.94384
527680.01,2262961.01,82.8988075
527680.01,2263061.01,85.1830254
527680.01,2263161.01,86.8851471
527680.01,2263261.01,86.9583626
527680.01,2263361.01,86.3397369
527680.01,2263461.01,84.978302
527680.01,2263561.01,82.693718
527680.01,2263661.01,81.1269722
527680.01,2263761.01,82.3688374
527680.01,2263861.01,83.6358833
527680.01,2263961.01,84.7182465
527680.01,2264061.01,86.2727585
527680.01,2264161.01,88.6727066
527680.01,2264261.01,89.8276482
527680.01,2264361.01,92.0512352
527680.01,2264461.01,95.2368011
527680.01,2264561.01,97.1283875
527680.01,2264661.01,101.157082
527680.01,2264761.01,105.912422
527680.01,2264861.01,107.155155
527680.01,2264961.01,111.123657
527680.01,2265061.01,114.690538
527680.01,2265161.01,115.95331
527680.01,2265261.01,114.69577
527680.01,2265361.01,109.859436
527680.01,2265461.01,104.741783
527680.01,2265561.01,102.112629
527680.01,2265661.01,102.032921
527680.01,2265761.01,103.883894
527680.01,2265861.01,103.793091
527680.01,2265961.01,102.412004
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,75.1065102
527780.01,2261261.01,74.423027
527780.01,2261361.01,73.9575367
527780.01,2261461.01,72.7526207
527780.01,2261561.01,71.2730083
527780.01,2261661.01,72.9809341
527780.01,2261761.01,75.0757446
527780.01,2261861.01,75.9468689
527780.01,2261961.01,74.719635
527780.01,2262061.01,73.2699928
527780.01,2262161.01,72.4389038
527780.01,2262261.01,72.3839836
527780.01,2262361.01,71.6923981
527780.01,2262461.01,72.2695541
527780.01,2262561.01,74.9010468
527780.01,2262661.01,75.5905018
527780.01,2262761.01,77.7113953
527780.01,2262861.01,79.4877872
527780.01,2262961.01,77.2216606
527780.01,2263061.01,78.410408
527780.01,2263161.01,80.4499168
527780.01,2263261.01,79.8713646
527780.01,2263361.01,80.3279495
527780.01,2263461.01,79.4535942
527780.01,2263561.01,78.9759407
527780.01,2263661.01,78.3180389
527780.01,2263761.01,79.2994995
527780.01,2263861.01,81.5623016
527780.01,2263961.01,81.8764477
527780.01,2264061.01,83.0650825
527780.01,2264161.01,86.6203403
527780.01,2264261.01,88.7175598
527780.01,2264361.01,89.7981033
527780.01,2264461.01,91.6131401
527780.01,2264561.01,92.6542435
527780.01,2264661.01,94.7151527
527780.01,2264761.01,99.4215279
527780.01,2264861.01,101.964672
527780.01,2264961.01,108.316284
527780.01,2265061.01,113.735744
527780.01,2265161.01,114.406094
527780.01,2265261.01,113.971022
527780.01,2265361.01,108.946918
527780.01,2265461.01,102.825983
527780.01,2265561.01,97.1775551
527780.01,2265661.01,97.4786453
527780.01,2265761.01,99.4916267
527780.01,2265861.01,97.5479736
527780.01,2265961.01,96.8972301
527780.01,2266061.01,95.928978
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,76.5287037
527880.01,2261261.01,75.9655418
527880.01,2261361.01,76.5144196
527880.01,2261461.01,76.6360779
527880.01,2261561.01,76.0895538
527880.01,2261661.01,75.9870529
527880.01,2261761.01,75.6323299
527880.01,2261861.01,76.1658173
527880.01,2261961.01,74.7797966
527880.01,2262061.01,72.5819244
527880.01,2262161.01,71.132515
527880.01,2262261.01,70.444767
527880.01,2262361.01,69.609787
527880.01,2262461.01,69.3210011
527880.01,2262561.01,70.6954308
527880.01,2262661.01,70.8429871
527880.01,2262761.01,72.3877335
527880.01,2262861.01,73.9693642
527880.01,2262961.01,73.6363792
527880.01,2263061.01,74.6641407
527880.01,2263161.01,76.6679192
527880.01,2263261.01,76.0964012
527880.01,2263361.01,74.3922234
527880.01,2263461.01,74.4812546
527880.01,2263561.01,73.247139
527880.01,2263661.01,74.6422958
527880.01,2263761.01,76.1994209
527880.01,2263861.01,76.05793
527880.01,2263961.01,78.0951424
527880.01,2264061.01,81.6237183
527880.01,2264161.01,85.7209549
527880.01,2264261.01,87.5997696
527880.01,2264361.01,88.4848557
527880.01,2264461.01,89.6617813
527880.01,2264561.01,90.024456
527880.01,2264661.01,90.8252335
527880.01,2264761.01,94.4711685
527880.01,2264861.01,98.5348549
527880.01,2264961.01,105.357735
527880.01,2265061.01,109.349113
527880.01,2265161.01,108.479836
527880.01,2265261.01,104.976925
527880.01,2265361.01,97.3140945
527880.01,2265461.01,91.3971882
527880.01,2265561.01,92.4911499
527880.01,2265661.01,93.8546448
527880.01,2265761.01,96.1410484
527880.01,2265861.01,95.1743584
527880.01,2265961.01,94.7245674
527880.01,2266061.01,94.5257874
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,79.3036919
527980.01,2261261.01,79.5163193
527980.01,2261361.01,80.7703228
527980.01,2261461.01,81.2608452
527980.01,2261561.01,80.5493431
527980.01,2261661.01,80.3030396
527980.01,2261761.01,77.7585793
527980.01,2261861.01,75.6955948
527980.01,2261961.01,74.2629948
527980.01,2262061.01,72.3414726
527980.01,2262161.01,70.1857719
527980.01,2262261.01,69.1693649
527980.01,2262361.01,68.1876678
527980.01,2262461.01,66.4955177
527980.01,2262561.01,67.2457733
527980.01,2262661.01,67.3669128
527980.01,2262761.01,68.7472534
527980.01,2262861.01,69.6270027
527980.01,2262961.01,70.0676804
527980.01,2263061.01,71.6375999
527980.01,2263161.01,72.5121307
527980.01,2263261.01,72.0143261
527980.01,2263361.01,72.5826263
527980.01,2263461.01,72.7999535
527980.01,2263561.01,71.5898743
527980.01,2263661.01,71.6456871
527980.01,2263761.01,74.0150871
527980.01,2263861.01,75.1049423
527980.01,2263961.01,78.0052624
527980.01,2264061.01,80.5072517
527980.01,2264161.01,81.916317
527980.01,2264261.01,84.7392044
527980.01,2264361.01,85.8693161
527980.01,2264461.01,88.2672729
527980.01,2264561.01,88.9888515
527980.01,2264661.01,90.1133499
527980.01,2264761.01,92.4965439
527980.01,2264861.01,95.4006348
527980.01,2264961.01,100.571201
527980.01,2265061.01,95.2995071
527980.01,2265161.01,90.3278275
527980.01,2265261.01,86.6399345
527980.01,2265361.01,84.5636406
527980.01,2265461.01,84.0576897
527980.01,2265561.01,85.8026505
527980.01,2265661.01,88.6082993
527980.01,2265761.01,88.9455261
527980.01,2265861.01,92.0081635
527980.01,2265961.01,93.5160027
527980.01,2266061.01,93.1452713
527980.01,2266161.01,-9999
527980.01,2266261.01,-9999
528080.01,2260961.01,82.9743118
528080.01,2261061.01,81.5576038
528080.01,2261161.01,81.4423218
528080.01,2261261.01,82.028986
528080.01,2261361.01,83.6778107
528080.01,2261461.01,84.5292435
528080.01,2261561.01,87.6805305
528080.01,2261661.01,89.6718407
528080.01,2261761.01,86.70051
528080.01,2261861.01,78.3160934
528080.01,2261961.01,75.2221756
528080.01,2262061.01,69.6064148
528080.01,2262161.01,68.2964363
528080.01,2262261.01,66.7864075
528080.01,2262361.01,65.259613
528080.01,2262461.01,64.581562
528080.01,2262561.01,63.9619656
528080.01,2262661.01,65.4195175
528080.01,2262761.01,66.776413
528080.01,2262861.01,65.6060886
528080.01,2262961.01,67.0149574
528080.01,2263061.01,68.7947159
528080.01,2263161.01,68.8630943
528080.01,2263261.01,68.295681
528080.01,2263361.01,68.4828873
528080.01,2263461.01,69.7184334
528080.01,2263561.01,69.8018379
528080.01,2263661.01,69.7657814
528080.01,2263761.01,72.261116
528080.01,2263861.01,73.7884941
528080.01,2263961.01,76.5422974
528080.01,2264061.01,78.3450699
528080.01,2264161.01,78.5969467
528080.01,2264261.01,80.493763
528080.01,2264361.01,83.1956024
528080.01,2264461.01,84.2195511
528080.01,2264561.01,86.5583534
528080.01,2264661.01,87.8891983
528080.01,2264761.01,89.1170349
528080.01,2264861.01,87.3820229
528080.01,2264961.01,85.3279533
528080.01,2265061.01,84.9295273
528080.01,2265161.01,83.9432869
528080.01,2265261.01,83.6115875
528080.01,2265361.01,83.199585
528080.01,2265461.01,82.2717838
528080.01,2265561.01,84.1504707
528080.01,2265661.01,85.4273186
528080.01,2265761.01,86.3254852
528080.01,2265861.01,90.3417244
528080.01,2265961.01,92.6236267
528080.01,2266061.01,91.9184361
528080.01,2266161.01,90.0869141
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,84.492012
