"X","Y","H80_r3a (TWT)"
527480.01,2262961.01,725.009155
527480.01,2263061.01,726.501328
527480.01,2263161.01,728.526306
527480.01,2263261.01,726.798843
527480.01,2263361.01,728.358948
527480.01,2263461.01,729.040253
527480.01,2263561.01,729.600037
527480.01,2263661.01,730.400742
527480.01,2263761.01,730.098877
527480.01,2263861.01,730.410019
527480.01,2263961.01,730.640747
527480.01,2264061.01,732.948883
527480.01,2264161.01,739.683411
527480.01,2264261.01,748.196472
527480.01,2264361.01,752.072342
527480.01,2264461.01,759.429291
527480.01,2264561.01,763.830017
527480.01,2264661.01,767.693909
527480.01,2264761.01,775.285522
527480.01,2264861.01,780.578796
527480.01,2264961.01,781.992889
527480.01,2265061.01,787.564087
527480.01,2265161.01,793.516876
527480.01,2265261.01,791.644104
527480.01,2265361.01,787.28653
527480.01,2265461.01,782.344788
527480.01,2265561.01,778.306549
527480.01,2265661.01,779.940247
527480.01,2265761.01,775.042847
527480.01,2265861.01,770.215149
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,783.020294
527580.01,2261361.01,788.122131
527580.01,2261461.01,788.60408
527580.01,2261561.01,791.173645
527580.01,2261661.01,794.115799
527580.01,2261761.01,793.304687
527580.01,2261861.01,795.639893
527580.01,2261961.01,795.144226
527580.01,2262061.01,792.877701
527580.01,2262161.01,786.976669
527580.01,2262261.01,783.369171
527580.01,2262361.01,781.670898
527580.01,2262461.01,782.957825
527580.01,2262561.01,785.483673
527580.01,2262661.01,777.625549
527580.01,2262761.01,778.38945
527580.01,2262861.01,761.463135
527580.01,2262961.01,735.355026
527580.01,2263061.01,732.505615
527580.01,2263161.01,726.519226
527580.01,2263261.01,724.973694
527580.01,2263361.01,724.301208
527580.01,2263461.01,725.575546
527580.01,2263561.01,727.083069
527580.01,2263661.01,726.564331
527580.01,2263761.01,727.231689
527580.01,2263861.01,726.982727
527580.01,2263961.01,726.393799
527580.01,2264061.01,729.024094
527580.01,2264161.01,733.448547
527580.01,2264261.01,735.914093
527580.01,2264361.01,743.255188
527580.01,2264461.01,754.855164
527580.01,2264561.01,763.722473
527580.01,2264661.01,768.501862
527580.01,2264761.01,773.109863
527580.01,2264861.01,777.128418
527580.01,2264961.01,777.028992
527580.01,2265061.01,776.286438
527580.01,2265161.01,776.095734
527580.01,2265261.01,773.683075
527580.01,2265361.01,774.337875
527580.01,2265461.01,774.841766
527580.01,2265561.01,775.203278
527580.01,2265661.01,775.625549
527580.01,2265761.01,772.517517
527580.01,2265861.01,769.13089
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,777.531906
527680.01,2261361.01,780.003967
527680.01,2261461.01,780.53125
527680.01,2261561.01,782.915955
527680.01,2261661.01,784.895569
527680.01,2261761.01,783.010315
527680.01,2261861.01,784.638214
527680.01,2261961.01,787.076996
527680.01,2262061.01,784.389862
527680.01,2262161.01,781.570618
527680.01,2262261.01,781.639496
527680.01,2262361.01,779.923889
527680.01,2262461.01,781.284119
527680.01,2262561.01,786.576096
527680.01,2262661.01,786.633728
527680.01,2262761.01,787.613983
527680.01,2262861.01,789.351807
527680.01,2262961.01,789.432755
527680.01,2263061.01,787.083374
527680.01,2263161.01,772.035461
527680.01,2263261.01,743.670227
527680.01,2263361.01,738.84491
527680.01,2263461.01,722.776672
527680.01,2263561.01,721.478546
527680.01,2263661.01,722.090454
527680.01,2263761.01,723.515045
527680.01,2263861.01,723.571838
527680.01,2263961.01,726.635376
527680.01,2264061.01,731.294617
527680.01,2264161.01,734.696045
527680.01,2264261.01,737.284088
527680.01,2264361.01,741.031158
527680.01,2264461.01,747.483871
527680.01,2264561.01,753.476868
527680.01,2264661.01,765.150177
527680.01,2264761.01,771.448914
