"X","Y","H03_TCraie (TWT)"
528280.01,2261361.01,-28.632907197
528280.01,2261461.01,-28.719745576
528280.01,2261561.01,-28.725963086
528280.01,2261661.01,-28.51982601
528280.01,2261761.01,-27.521703392
528280.01,2261861.01,-26.101849973
528280.01,2261961.01,-23.964259773
528280.01,2262061.01,-21.817954257
528280.01,2262161.01,-19.684800878
528280.01,2262261.01,-17.743146047
528280.01,2262361.01,-16.045667231
528280.01,2262461.01,-14.556543902
528280.01,2262561.01,-13.552092016
528280.01,2262661.01,-12.909882702
528280.01,2262761.01,-12.641582638
528280.01,2262861.01,-12.703332119
528280.01,2262961.01,-13.056313619
528280.01,2263061.01,-13.740343042
528280.01,2263161.01,-14.545493759
528280.01,2263261.01,-15.480495989
528280.01,2263361.01,-16.530409455
528280.01,2263461.01,-17.628334463
528280.01,2263561.01,-18.722163513
528280.01,2263661.01,-19.759964198
528280.01,2263761.01,-20.690456033
528280.01,2263861.01,-20.99531889
528280.01,2263961.01,-21.216489375
528280.01,2264061.01,-21.514682099
528280.01,2264161.01,-22.562671453
528280.01,2264261.01,-22.235812619
528280.01,2264361.01,-21.549127996
528280.01,2264461.01,-20.465867594
528280.01,2264561.01,-19.048484042
528280.01,2264661.01,-17.298834398
528280.01,2264761.01,-15.365639701
528280.01,2264861.01,-13.32268212
528280.01,2264961.01,-11.284502223
528280.01,2265061.01,-9.330463596
528280.01,2265161.01,-8.044457063
528280.01,2265261.01,-7.457259577
528280.01,2265361.01,-6.894828752
528280.01,2265461.01,-6.351512857
528280.01,2265561.01,-5.844397936
528280.01,2265661.01,-5.393074825
528280.01,2265761.01,-5.060426425
528280.01,2265861.01,-4.740893375
528280.01,2265961.01,-4.600992426
528280.01,2266061.01,-4.608906806
528280.01,2266161.01,-4.777906463
528280.01,2266261.01,-5.114205182
528280.01,2266361.01,-5.593304057
