"X","Y","H00_Ground Level (TWT)"
527580.01,2262561.01,-92.588088989
527580.01,2262661.01,-94.070831299
527580.01,2262761.01,-95.315696716
527580.01,2262861.01,-94.471244812
527580.01,2262961.01,-93.4610672
527580.01,2263061.01,-91.243713379
527580.01,2263161.01,-89.022941589
527580.01,2263261.01,-88.572265625
527580.01,2263361.01,-87.26688385
527580.01,2263461.01,-84.885452271
527580.01,2263561.01,-84.175430298
527580.01,2263661.01,-83.730392456
527580.01,2263761.01,-81.112930298
527580.01,2263861.01,-76.230636597
527580.01,2263961.01,-70.610092163
527580.01,2264061.01,-69.659812927
527580.01,2264161.01,-74.331604004
527580.01,2264261.01,-79.536132813
527580.01,2264361.01,-82.443237305
527580.01,2264461.01,-82.147705078
527580.01,2264561.01,-80.721961975
527580.01,2264661.01,-81.802200317
527580.01,2264761.01,-82.302352905
527580.01,2264861.01,-83.544258118
527580.01,2264961.01,-83.441368103
527580.01,2265061.01,-78.033584595
527580.01,2265161.01,-78.221557617
527580.01,2265261.01,-82.831741333
527580.01,2265361.01,-86.287666321
527580.01,2265461.01,-88.554847717
527580.01,2265561.01,-91.091033936
527580.01,2265661.01,-90.523704529
527580.01,2265761.01,-89.16040802
527580.01,2265861.01,-88.69695282
527580.01,2265961.01,-87.315460205
527580.01,2266061.01,-88.077072144
527680.01,2261061.01,-71.773208618
527680.01,2261161.01,-71.713760376
527680.01,2261261.01,-72.331550598
527680.01,2261361.01,-72.098831177
527680.01,2261461.01,-72.455696106
527680.01,2261561.01,-72.756866455
527680.01,2261661.01,-74.068122864
527680.01,2261761.01,-77.278610229
527680.01,2261861.01,-80.866767883
527680.01,2261961.01,-82.925804138
527680.01,2262061.01,-85.242965698
527680.01,2262161.01,-88.074043274
527680.01,2262261.01,-89.651649475
527680.01,2262361.01,-90.312477112
527680.01,2262461.01,-90.715087891
527680.01,2262561.01,-91.541442871
527680.01,2262661.01,-91.866882324
527680.01,2262761.01,-94.153442383
527680.01,2262861.01,-93.615684509
527680.01,2262961.01,-92.140167236
527680.01,2263061.01,-90.122947693
527680.01,2263161.01,-88.298667908
527680.01,2263261.01,-88.067070007
527680.01,2263361.01,-86.792373657
527680.01,2263461.01,-84.487060547
527680.01,2263561.01,-82.001281738
527680.01,2263661.01,-81.812728882
527680.01,2263761.01,-79.753356934
527680.01,2263861.01,-74.965446472
527680.01,2263961.01,-70.474220276
527680.01,2264061.01,-68.882423401
527680.01,2264161.01,-73.359344482
527680.01,2264261.01,-79.810554504
527680.01,2264361.01,-84.161842346
527680.01,2264461.01,-85.791862488
527680.01,2264561.01,-86.18863678
527680.01,2264661.01,-89.099060059
527680.01,2264761.01,-90.835388184
527680.01,2264861.01,-91.307731628
527680.01,2264961.01,-89.430770874
527680.01,2265061.01,-84.879234314
527680.01,2265161.01,-84.073219299
527680.01,2265261.01,-86.570518494
527680.01,2265361.01,-89.016159058
527680.01,2265461.01,-94.219039917
527680.01,2265561.01,-99.254760742
527680.01,2265661.01,-98.031242371
527680.01,2265761.01,-95.167251587
527680.01,2265861.01,-93.706977844
527680.01,2265961.01,-92.109779358
527680.01,2266061.01,-92.386405945
527680.01,2266161.01,-92.886657715
527780.01,2261061.01,-71.244316101
527780.01,2261161.01,-71.052223206
527780.01,2261261.01,-70.966880798
527780.01,2261361.01,-71.318572998
527780.01,2261461.01,-72.015449524
527780.01,2261561.01,-73.711509705
527780.01,2261661.01,-75.607330322
527780.01,2261761.01,-78.888160706
527780.01,2261861.01,-81.664833069
527780.01,2261961.01,-83.135742188
527780.01,2262061.01,-85.548652649
527780.01,2262161.01,-87.903869629
527780.01,2262261.01,-89.211502075
527780.01,2262361.01,-91.225715637
527780.01,2262461.01,-91.339523315
527780.01,2262561.01,-90.533233643
527780.01,2262661.01,-89.94606781
527780.01,2262761.01,-91.505882263
527780.01,2262861.01,-91.624679565
527780.01,2262961.01,-90.620864868
527780.01,2263061.01,-89.13898468
527780.01,2263161.01,-88.409683228
527780.01,2263261.01,-87.814804077
527780.01,2263361.01,-85.999649048
527780.01,2263461.01,-83.515106201
527780.01,2263561.01,-80.689926147
527780.01,2263661.01,-78.714874268
527780.01,2263761.01,-76.723106384
527780.01,2263861.01,-73.464851379
527780.01,2263961.01,-70.364753723
527780.01,2264061.01,-67.606201172
527780.01,2264161.01,-72.662513733
527780.01,2264261.01,-79.186386108
527780.01,2264361.01,-85.392433167
527780.01,2264461.01,-88.62046051
527780.01,2264561.01,-90.504646301
527780.01,2264661.01,-95.205871582
527780.01,2264761.01,-98.145027161
527780.01,2264861.01,-98.121711731
527780.01,2264961.01,-95.091255188
527780.01,2265061.01,-90.04498291
527780.01,2265161.01,-88.803421021
527780.01,2265261.01,-90.110069275
527780.01,2265361.01,-92.690437317
527780.01,2265461.01,-98.025344849
527780.01,2265561.01,-101.923484802
527780.01,2265661.01,-102.385177612
527780.01,2265761.01,-100.687973022
527780.01,2265861.01,-98.264648438
527780.01,2265961.01,-96.949684143
527780.01,2266061.01,-96.084960938
527780.01,2266161.01,-95.860778809
527880.01,2261061.01,-70.451408386
527880.01,2261161.01,-69.8959198
527880.01,2261261.01,-70.329109192
527880.01,2261361.01,-71.145217896
527880.01,2261461.01,-72.033317566
527880.01,2261561.01,-74.41166687
527880.01,2261661.01,-77.242485046
527880.01,2261761.01,-79.449066162
527880.01,2261861.01,-81.614509583
527880.01,2261961.01,-84.260360718
527880.01,2262061.01,-86.135955811
527880.01,2262161.01,-87.866546631
527880.01,2262261.01,-88.601295471
527880.01,2262361.01,-89.819267273
527880.01,2262461.01,-90.542930603
527880.01,2262561.01,-89.950187683
527880.01,2262661.01,-88.768447876
527880.01,2262761.01,-89.511955261
527880.01,2262861.01,-89.43649292
527880.01,2262961.01,-88.47895813
527880.01,2263061.01,-87.542999268
527880.01,2263161.01,-86.982978821
527880.01,2263261.01,-86.565605164
527880.01,2263361.01,-85.171859741
527880.01,2263461.01,-82.305671692
527880.01,2263561.01,-79.3125
527880.01,2263661.01,-76.963653564
527880.01,2263761.01,-74.471351624
527880.01,2263861.01,-72.275497437
527880.01,2263961.01,-70.729103088
527880.01,2264061.01,-67.086303711
527880.01,2264161.01,-71.140327454
527880.01,2264261.01,-78.042182922
527880.01,2264361.01,-85.192520142
527880.01,2264461.01,-90.247314453
527880.01,2264561.01,-94.299217224
527880.01,2264661.01,-99.928092957
527880.01,2264761.01,-103.814064026
527880.01,2264861.01,-104.488700867
527880.01,2264961.01,-101.325111389
527880.01,2265061.01,-96.111053467
527880.01,2265161.01,-93.295890808
527880.01,2265261.01,-93.625045776
527880.01,2265361.01,-96.713539124
527880.01,2265461.01,-101.361289978
527880.01,2265561.01,-105.419151306
527880.01,2265661.01,-107.029159546
527880.01,2265761.01,-106.316558838
527880.01,2265861.01,-102.410591125
527880.01,2265961.01,-98.850669861
527880.01,2266061.01,-98.731819153
527880.01,2266161.01,-98.700775146
527880.01,2266261.01,-96.813926697
527980.01,2260961.01,-70.059555054
527980.01,2261061.01,-69.574645996
527980.01,2261161.01,-69.401893616
527980.01,2261261.01,-70.460212708
527980.01,2261361.01,-71.591392517
527980.01,2261461.01,-73.188812256
527980.01,2261561.01,-75.696784973
527980.01,2261661.01,-78.463035583
527980.01,2261761.01,-79.592033386
527980.01,2261861.01,-81.402458191
527980.01,2261961.01,-83.646896362
527980.01,2262061.01,-85.317810059
527980.01,2262161.01,-86.966598511
527980.01,2262261.01,-88.314094543
527980.01,2262361.01,-88.671646118
527980.01,2262461.01,-88.130012512
527980.01,2262561.01,-88.080848694
527980.01,2262661.01,-87.58769989
527980.01,2262761.01,-87.943489075
527980.01,2262861.01,-88.010604858
527980.01,2262961.01,-86.782539368
527980.01,2263061.01,-85.852409363
527980.01,2263161.01,-85.590362549
527980.01,2263261.01,-85.328643799
527980.01,2263361.01,-84.884384155
527980.01,2263461.01,-82.830856323
527980.01,2263561.01,-78.041114807
527980.01,2263661.01,-75.756256104
527980.01,2263761.01,-73.432594299
527980.01,2263861.01,-71.532516479
527980.01,2263961.01,-68.379348755
527980.01,2264061.01,-66.852264404
527980.01,2264161.01,-70.187286377
527980.01,2264261.01,-76.862876892
527980.01,2264361.01,-83.753097534
527980.01,2264461.01,-89.463981628
527980.01,2264561.01,-95.357620239
527980.01,2264661.01,-101.629089355
527980.01,2264761.01,-105.612823486
527980.01,2264861.01,-107.776176453
527980.01,2264961.01,-105.537910461
527980.01,2265061.01,-102.005455017
527980.01,2265161.01,-99.581047058
527980.01,2265261.01,-98.549934387
527980.01,2265361.01,-101.191055298
527980.01,2265461.01,-104.802581787
527980.01,2265561.01,-108.482887268
527980.01,2265661.01,-112.118377686
527980.01,2265761.01,-111.730430603
527980.01,2265861.01,-107.338127136
527980.01,2265961.01,-103.403671265
527980.01,2266061.01,-101.083106995
527980.01,2266161.01,-100.771850586
527980.01,2266261.01,-98.857643127
528080.01,2260961.01,-69.487754822
528080.01,2261061.01,-69.211746216
528080.01,2261161.01,-69.494644165
528080.01,2261261.01,-70.949386597
528080.01,2261361.01,-72.118766785
528080.01,2261461.01,-73.868690491
528080.01,2261561.01,-76.225120544
528080.01,2261661.01,-78.367774963
528080.01,2261761.01,-78.957115173
528080.01,2261861.01,-81.378974915
528080.01,2261961.01,-82.879142761
528080.01,2262061.01,-84.634185791
528080.01,2262161.01,-86.530845642
528080.01,2262261.01,-87.299560547
528080.01,2262361.01,-86.787208557
528080.01,2262461.01,-85.758491516
528080.01,2262561.01,-85.533500671
528080.01,2262661.01,-86.367248535
528080.01,2262761.01,-86.943206787
528080.01,2262861.01,-87.157089233
528080.01,2262961.01,-86.307479858
528080.01,2263061.01,-85.469200134
528080.01,2263161.01,-85.057991028
528080.01,2263261.01,-85.696891785
528080.01,2263361.01,-84.732116699
528080.01,2263461.01,-83.098350525
528080.01,2263561.01,-77.37008667
528080.01,2263661.01,-74.521568298
528080.01,2263761.01,-71.849311829
528080.01,2263861.01,-71.158691406
528080.01,2263961.01,-67.817970276
528080.01,2264061.01,-66.342277527
528080.01,2264161.01,-69.911186218
528080.01,2264261.01,-76.355690002
528080.01,2264361.01,-82.66973114
528080.01,2264461.01,-87.727752686
528080.01,2264561.01,-93.381240845
528080.01,2264661.01,-100.190345764
528080.01,2264761.01,-104.509048462
528080.01,2264861.01,-106.485916138
528080.01,2264961.01,-106.412742615
528080.01,2265061.01,-104.736976624
528080.01,2265161.01,-105.731323242
528080.01,2265261.01,-104.159080505
528080.01,2265361.01,-105.370864868
528080.01,2265461.01,-108.269851685
528080.01,2265561.01,-110.493537903
528080.01,2265661.01,-113.434005737
528080.01,2265761.01,-114.775863647
528080.01,2265861.01,-111.805862427
528080.01,2265961.01,-108.254974365
528080.01,2266061.01,-104.345550537
528080.01,2266161.01,-102.257041931
528080.01,2266261.01,-100.789993286
528080.01,2266361.01,-98.41632843
528180.01,2260961.01,-69.160690308
528180.01,2261061.01,-69.124443054
528180.01,2261161.01,-69.785400391
528180.01,2261261.01,-71.352806091
528180.01,2261361.01,-72.422843933
528180.01,2261461.01,-73.429023743
528180.01,2261561.01,-75.839653015
528180.01,2261661.01,-77.071289063
528180.01,2261761.01,-77.929573059
528180.01,2261861.01,-80.835411072
528180.01,2261961.01,-82.393890381
528180.01,2262061.01,-83.851974487
528180.01,2262161.01,-85.710525513
528180.01,2262261.01,-85.179336548
528180.01,2262361.01,-84.421813965
528180.01,2262461.01,-83.525863647
528180.01,2262561.01,-83.208305359
528180.01,2262661.01,-84.827827454
528180.01,2262761.01,-86.173774719
528180.01,2262861.01,-86.145751953
528180.01,2262961.01,-84.787338257
528180.01,2263061.01,-84.086433411
528180.01,2263161.01,-83.782539368
528180.01,2263261.01,-84.400382996
528180.01,2263361.01,-83.499023438
528180.01,2263461.01,-82.110816956
528180.01,2263561.01,-77.128730774
528180.01,2263661.01,-73.384208679
528180.01,2263761.01,-71.559883118
528180.01,2263861.01,-70.355895996
528180.01,2263961.01,-69.005271912
528180.01,2264061.01,-67.191101074
528180.01,2264161.01,-70.501747131
528180.01,2264261.01,-76.301681519
528180.01,2264361.01,-82.040817261
528180.01,2264461.01,-85.522628784
528180.01,2264561.01,-90.468353271
528180.01,2264661.01,-97.365730286
528180.01,2264761.01,-101.852539063
528180.01,2264861.01,-103.324378967
528180.01,2264961.01,-104.524154663
528180.01,2265061.01,-104.737739563
528180.01,2265161.01,-106.262985229
528180.01,2265261.01,-106.266479492
528180.01,2265361.01,-106.8203125
528180.01,2265461.01,-109.216392517
528180.01,2265561.01,-110.876243591
528180.01,2265661.01,-113.932067871
528180.01,2265761.01,-115.799980164
528180.01,2265861.01,-114.501556396
528180.01,2265961.01,-112.524726868
528180.01,2266061.01,-107.847702026
528180.01,2266161.01,-103.845100403
528180.01,2266261.01,-102.638977051
528180.01,2266361.01,-100.274215698
528280.01,2260861.01,-68.087715149
528280.01,2260961.01,-68.492744446
528280.01,2261061.01,-69.854064941
528280.01,2261161.01,-70.480247498
528280.01,2261261.01,-71.858573914
528280.01,2261361.01,-73.152885437
528280.01,2261461.01,-74.386627197
528280.01,2261561.01,-76.071479797
528280.01,2261661.01,-77.690299988
528280.01,2261761.01,-78.338829041
528280.01,2261861.01,-80.712944031
528280.01,2261961.01,-82.133056641
528280.01,2262061.01,-83.675262451
528280.01,2262161.01,-83.685310364
528280.01,2262261.01,-82.656463623
528280.01,2262361.01,-82.428276062
528280.01,2262461.01,-82.179824829
528280.01,2262561.01,-82.359794617
528280.01,2262661.01,-82.267921448
528280.01,2262761.01,-83.883071899
528280.01,2262861.01,-84.410377502
528280.01,2262961.01,-82.510475159
528280.01,2263061.01,-81.704368591
528280.01,2263161.01,-82.446380615
528280.01,2263261.01,-82.83455658
528280.01,2263361.01,-81.861320496
528280.01,2263461.01,-79.887321472
528280.01,2263561.01,-76.876869202
528280.01,2263661.01,-73.318733215
528280.01,2263761.01,-71.740837097
528280.01,2263861.01,-70.01739502
528280.01,2263961.01,-68.585014343
528280.01,2264061.01,-67.776771545
528280.01,2264161.01,-71.176826477
528280.01,2264261.01,-75.276977539
528280.01,2264361.01,-80.981895447
528280.01,2264461.01,-83.369491577
528280.01,2264561.01,-88.210861206
528280.01,2264661.01,-92.887908936
528280.01,2264761.01,-96.718170166
528280.01,2264861.01,-99.347053528
528280.01,2264961.01,-100.441238403
528280.01,2265061.01,-102.301513672
528280.01,2265161.01,-104.011314392
528280.01,2265261.01,-105.300643921
528280.01,2265361.01,-105.94757843
528280.01,2265461.01,-108.073646545
528280.01,2265561.01,-110.893379211
528280.01,2265661.01,-113.498794556
528280.01,2265761.01,-114.801544189
528280.01,2265861.01,-115.148544312
528280.01,2265961.01,-115.045829773
528280.01,2266061.01,-110.595611572
528280.01,2266161.01,-106.732498169
528280.01,2266261.01,-106.112701416
