"X","Y","H60_Charm (TWT)"
527580.01,2263461.01,658.370743
527580.01,2263561.01,654.230225
527580.01,2263661.01,653.112762
527580.01,2263761.01,654.935181
527580.01,2263861.01,657.852356
527580.01,2263961.01,657.389648
527580.01,2264061.01,658.197983
527580.01,2264161.01,661.254608
527580.01,2264261.01,662.700806
527580.01,2264361.01,668.547241
527580.01,2264461.01,679.75946
527580.01,2264561.01,687.754578
527580.01,2264661.01,692.192719
527580.01,2264761.01,697.190598
527580.01,2264861.01,702.65097
527580.01,2264961.01,704.470581
527580.01,2265061.01,705.375427
527580.01,2265161.01,707.133698
527580.01,2265261.01,701.762146
527580.01,2265361.01,701.071686
527580.01,2265461.01,700.600647
527580.01,2265561.01,699.843781
527580.01,2265661.01,698.901184
527580.01,2265761.01,693.39682
527580.01,2265861.01,691.256012
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,672.980484
527680.01,2261361.01,673.663635
527680.01,2261461.01,674.48703
527680.01,2261561.01,676.960449
527680.01,2261661.01,679.309479
527680.01,2261761.01,679.67337
527680.01,2261861.01,681.207443
527680.01,2261961.01,680.798737
527680.01,2262061.01,680.19696
527680.01,2262161.01,680.392761
527680.01,2262261.01,681.006805
527680.01,2262361.01,681.200989
527680.01,2262461.01,682.81636
527680.01,2262561.01,685.973068
527680.01,2262661.01,687.213196
527680.01,2262761.01,690.364868
527680.01,2262861.01,691.311218
527680.01,2262961.01,691.027328
527680.01,2263061.01,691.781342
527680.01,2263161.01,693.964966
527680.01,2263261.01,691.729156
527680.01,2263361.01,689.716125
527680.01,2263461.01,672.260254
527680.01,2263561.01,655.914062
527680.01,2263661.01,653.414124
527680.01,2263761.01,651.254105
527680.01,2263861.01,653.613815
527680.01,2263961.01,656.019653
527680.01,2264061.01,657.955688
527680.01,2264161.01,661.195984
527680.01,2264261.01,664.226791
527680.01,2264361.01,667.111053
527680.01,2264461.01,675.189148
527680.01,2264561.01,681.390686
527680.01,2264661.01,690.104431
527680.01,2264761.01,696.45874
527680.01,2264861.01,698.505432
527680.01,2264961.01,701.80719
527680.01,2265061.01,698.039383
527680.01,2265161.01,692.374161
527680.01,2265261.01,693.189209
527680.01,2265361.01,695.39679
527680.01,2265461.01,696.985474
527680.01,2265561.01,697.903137
527680.01,2265661.01,696.189575
527680.01,2265761.01,693.241989
527680.01,2265861.01,692.650513
527680.01,2265961.01,692.889297
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,669.222473
527780.01,2261261.01,669.894348
527780.01,2261361.01,670.216568
527780.01,2261461.01,671.201416
527780.01,2261561.01,673.252762
527780.01,2261661.01,672.654144
527780.01,2261761.01,674.969666
527780.01,2261861.01,676.648712
527780.01,2261961.01,677.55603
527780.01,2262061.01,677.260422
527780.01,2262161.01,677.652283
527780.01,2262261.01,678.409317
527780.01,2262361.01,678.614075
527780.01,2262461.01,680.368683
527780.01,2262561.01,682.812622
527780.01,2262661.01,684.281006
527780.01,2262761.01,687.553589
527780.01,2262861.01,690.154892
527780.01,2262961.01,689.675934
527780.01,2263061.01,690.916077
527780.01,2263161.01,692.029205
527780.01,2263261.01,692.005188
527780.01,2263361.01,693.525864
527780.01,2263461.01,692.174225
527780.01,2263561.01,684.572372
527780.01,2263661.01,680.870422
527780.01,2263761.01,669.225433
527780.01,2263861.01,660.896484
527780.01,2263961.01,663.4431
527780.01,2264061.01,662.083588
527780.01,2264161.01,664.527863
527780.01,2264261.01,670.592285
527780.01,2264361.01,672.497437
527780.01,2264461.01,674.787048
527780.01,2264561.01,678.394318
527780.01,2264661.01,686.12561
527780.01,2264761.01,694.805695
527780.01,2264861.01,695.863007
527780.01,2264961.01,696.643677
527780.01,2265061.01,691.047699
527780.01,2265161.01,687.363953
527780.01,2265261.01,691.286621
527780.01,2265361.01,693.745819
527780.01,2265461.01,696.560669
527780.01,2265561.01,696.492279
527780.01,2265661.01,696.806274
527780.01,2265761.01,695.537109
527780.01,2265861.01,693.647125
527780.01,2265961.01,692.347626
527780.01,2266061.01,693.207642
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,679.414124
527880.01,2261261.01,672.428558
527880.01,2261361.01,672.351929
527880.01,2261461.01,670.205261
527880.01,2261561.01,669.922546
527880.01,2261661.01,671.130219
527880.01,2261761.01,673.67955
527880.01,2261861.01,675.112457
527880.01,2261961.01,675.624725
527880.01,2262061.01,675.949158
527880.01,2262161.01,677.120544
527880.01,2262261.01,677.247803
527880.01,2262361.01,676.655548
527880.01,2262461.01,677.342957
527880.01,2262561.01,679.537323
527880.01,2262661.01,680.818329
527880.01,2262761.01,683.971985
527880.01,2262861.01,686.234558
527880.01,2262961.01,686.685272
527880.01,2263061.01,688.008636
527880.01,2263161.01,689.270996
527880.01,2263261.01,689.269745
527880.01,2263361.01,689.843384
527880.01,2263461.01,690.787476
527880.01,2263561.01,689.695129
527880.01,2263661.01,687.240479
527880.01,2263761.01,682.769958
527880.01,2263861.01,682.294678
527880.01,2263961.01,681.565399
527880.01,2264061.01,678.533813
527880.01,2264161.01,674.243378
527880.01,2264261.01,675.067688
527880.01,2264361.01,674.116928
527880.01,2264461.01,675.775024
527880.01,2264561.01,678.238129
527880.01,2264661.01,681.720612
527880.01,2264761.01,686.361389
527880.01,2264861.01,688.297394
527880.01,2264961.01,694.051208
527880.01,2265061.01,691.468567
527880.01,2265161.01,686.522095
527880.01,2265261.01,688.865021
