"X","Y","H50_Aal (TWT)"
527380.01,2262061.01,608.827332
527380.01,2262161.01,609.39711
527380.01,2262261.01,606.031586
527380.01,2262361.01,606.780121
527380.01,2262461.01,610.362305
527380.01,2262561.01,617.653076
527380.01,2262661.01,615.057312
527380.01,2262761.01,615.375336
527380.01,2262861.01,609.853256
527380.01,2262961.01,606.849854
527380.01,2263061.01,607.091705
527380.01,2263161.01,606.901123
527380.01,2263261.01,606.8078
527380.01,2263361.01,607.300598
527380.01,2263461.01,606.888474
527380.01,2263561.01,606.808838
527380.01,2263661.01,608.526962
527380.01,2263761.01,609.612183
527380.01,2263861.01,611.313416
527380.01,2263961.01,614.696594
527380.01,2264061.01,617.113281
527380.01,2264161.01,624.169983
527380.01,2264261.01,631.321045
527380.01,2264361.01,634.366852
527380.01,2264461.01,640.935242
527380.01,2264561.01,648.36853
527380.01,2264661.01,651.830811
527380.01,2264761.01,659.512558
527380.01,2264861.01,667.192444
527380.01,2264961.01,666.727692
527380.01,2265061.01,664.514954
527380.01,2265161.01,669.121033
527380.01,2265261.01,672.846985
527380.01,2265361.01,675.285492
527380.01,2265461.01,676.00499
527380.01,2265561.01,674.699768
527380.01,2265661.01,669.850525
527380.01,2265761.01,664.369202
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,627.817963
527480.01,2261361.01,629.488312
527480.01,2261461.01,629.845001
527480.01,2261561.01,629.333862
527480.01,2261661.01,630.545166
527480.01,2261761.01,630.487991
527480.01,2261861.01,628.255859
527480.01,2261961.01,624.989532
527480.01,2262061.01,624.15155
527480.01,2262161.01,623.418365
527480.01,2262261.01,622.276184
527480.01,2262361.01,624.177216
527480.01,2262461.01,627.239044
527480.01,2262561.01,628.524399
527480.01,2262661.01,628.917297
527480.01,2262761.01,630.332214
527480.01,2262861.01,623.47345
527480.01,2262961.01,620.822205
527480.01,2263061.01,619.933136
527480.01,2263161.01,614.820892
527480.01,2263261.01,611.992416
