"X","Y","H50_Aal (Depth)"
527480.01,2261661.01,898.149780273
527480.01,2261761.01,898.59161377
527480.01,2261861.01,898.407348633
527480.01,2261961.01,898.11529541
527480.01,2262061.01,897.840515137
527480.01,2262161.01,897.076721191
527480.01,2262261.01,899.215881348
527480.01,2262361.01,901.506591797
527480.01,2262461.01,903.226806641
527480.01,2262561.01,904.741027832
527480.01,2262661.01,905.455871582
527480.01,2262761.01,905.455871582
527480.01,2262861.01,898.801574707
527480.01,2262961.01,886.800537109
527480.01,2263061.01,875.280395508
527480.01,2263161.01,847.375305176
527480.01,2263261.01,847.472412109
527480.01,2263361.01,848.169067383
527480.01,2263461.01,850.305236816
527480.01,2263561.01,854.523925781
527480.01,2263661.01,855.087280273
527480.01,2263761.01,857.26373291
527480.01,2263861.01,859.379455566
527480.01,2263961.01,860.792053223
527480.01,2264061.01,864.773254395
527480.01,2264161.01,871.695800781
527480.01,2264261.01,880.84197998
527480.01,2264361.01,885.348449707
527480.01,2264461.01,893.526977539
527480.01,2264561.01,899.44317627
527480.01,2264661.01,897.6875
527480.01,2264761.01,916.715637207
527480.01,2264861.01,923.170959473
527480.01,2264961.01,926.718078613
527480.01,2265061.01,929.878173828
527480.01,2265161.01,932.250732422
527480.01,2265261.01,936.374023438
527480.01,2265361.01,936.374023438
527480.01,2265461.01,936.374023438
527480.01,2265561.01,901.37487793
527480.01,2265661.01,901.37487793
527480.01,2265761.01,899.805480957
527480.01,2265861.01,900.099182129
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,890.968994141
527580.01,2261361.01,894.310424805
527580.01,2261461.01,894.771118164
527580.01,2261561.01,897.997253418
527580.01,2261661.01,898.738830566
527580.01,2261761.01,898.37878418
527580.01,2261861.01,897.620910645
527580.01,2261961.01,897.321960449
527580.01,2262061.01,896.58996582
527580.01,2262161.01,893.635986328
527580.01,2262261.01,896.202880859
527580.01,2262361.01,896.59765625
527580.01,2262461.01,899.295471191
527580.01,2262561.01,902.161621094
527580.01,2262661.01,905.055053711
527580.01,2262761.01,905.850708008
527580.01,2262861.01,906.155273438
527580.01,2262961.01,906.155273438
527580.01,2263061.01,906.155273438
527580.01,2263161.01,906.155273438
527580.01,2263261.01,847.572753906
527580.01,2263361.01,904.046081543
527580.01,2263461.01,851.138427734
527580.01,2263561.01,852.924316406
527580.01,2263661.01,854.229187012
527580.01,2263761.01,855.614746094
527580.01,2263861.01,857.658630371
527580.01,2263961.01,858.740600586
527580.01,2264061.01,861.442565918
527580.01,2264161.01,865.12689209
527580.01,2264261.01,868.153869629
527580.01,2264361.01,877.534057617
