"X","Y","H20_Kimm (Depth)"
527880.01,2265261.01,264.302825928
527880.01,2265361.01,258.085449219
527880.01,2265461.01,258.085449219
527880.01,2265561.01,258.085449219
527880.01,2265661.01,258.085449219
527880.01,2265761.01,258.919494629
527880.01,2265861.01,259.67276001
527880.01,2265961.01,263.287200928
527880.01,2266061.01,264.553100586
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,257.789978027
527980.01,2261161.01,240.749481201
527980.01,2261261.01,233.942855835
527980.01,2261361.01,233.789550781
527980.01,2261461.01,233.789550781
527980.01,2261561.01,235.662307739
527980.01,2261661.01,236.759338379
527980.01,2261761.01,237.98677063
527980.01,2261861.01,239.609039307
527980.01,2261961.01,240.063858032
527980.01,2262061.01,239.587615967
527980.01,2262161.01,237.427429199
527980.01,2262261.01,234.489807129
527980.01,2262361.01,231.128753662
527980.01,2262461.01,228.84552002
527980.01,2262561.01,229.735321045
527980.01,2262661.01,229.664413452
527980.01,2262761.01,231.965042114
527980.01,2262861.01,233.483215332
527980.01,2262961.01,234.279678345
527980.01,2263061.01,236.10496521
527980.01,2263161.01,237.666015625
527980.01,2263261.01,238.043716431
527980.01,2263361.01,239.262359619
527980.01,2263461.01,240.425018311
527980.01,2263561.01,240.353713989
527980.01,2263661.01,241.946838379
527980.01,2263761.01,244.019500732
527980.01,2263861.01,246.143112183
527980.01,2263961.01,250.042205811
527980.01,2264061.01,254.934326172
527980.01,2264161.01,256.821746826
527980.01,2264261.01,261.900878906
527980.01,2264361.01,266.475799561
527980.01,2264461.01,267.763916016
527980.01,2264561.01,266.218444824
527980.01,2264661.01,262.98260498
527980.01,2264761.01,295.913513184
527980.01,2264861.01,296.563659668
527980.01,2264961.01,279.622589111
527980.01,2265061.01,261.900512695
527980.01,2265161.01,262.031188965
527980.01,2265261.01,266.015808105
527980.01,2265361.01,261.122558594
527980.01,2265461.01,258.085449219
527980.01,2265561.01,294.388336182
527980.01,2265661.01,258.085449219
527980.01,2265761.01,258.5
527980.01,2265861.01,259.428710938
527980.01,2265961.01,262.552490234
527980.01,2266061.01,263.988800049
527980.01,2266161.01,263.519744873
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,265.974060059
528080.01,2261161.01,269.561309814
528080.01,2261261.01,233.789550781
528080.01,2261361.01,233.789550781
528080.01,2261461.01,233.789550781
528080.01,2261561.01,233.789550781
528080.01,2261661.01,233.789550781
528080.01,2261761.01,236.773590088
528080.01,2261861.01,239.875030518
528080.01,2261961.01,236.922058105
528080.01,2262061.01,236.924835205
528080.01,2262161.01,233.106750488
528080.01,2262261.01,230.954849243
528080.01,2262361.01,228.944564819
528080.01,2262461.01,227.793869019
528080.01,2262561.01,227.790267944
528080.01,2262661.01,227.921905518
528080.01,2262761.01,230.321380615
528080.01,2262861.01,231.021118164
528080.01,2262961.01,233.412857056
528080.01,2263061.01,234.086791992
528080.01,2263161.01,235.431411743
528080.01,2263261.01,235.537445068
528080.01,2263361.01,237.87789917
528080.01,2263461.01,239.185592651
528080.01,2263561.01,239.825637817
528080.01,2263661.01,241.209121704
528080.01,2263761.01,243.00100708
528080.01,2263861.01,245.350799561
528080.01,2263961.01,250.108383179
528080.01,2264061.01,254.95930481
528080.01,2264161.01,256.900177002
528080.01,2264261.01,260.679779053
528080.01,2264361.01,264.570953369
528080.01,2264461.01,265.645996094
528080.01,2264561.01,263.097045898
528080.01,2264661.01,261.900512695
528080.01,2264761.01,261.900512695
528080.01,2264861.01,261.900512695
528080.01,2264961.01,261.900512695
528080.01,2265061.01,262.625396729
528080.01,2265161.01,263.751342773
528080.01,2265261.01,267.138519287
528080.01,2265361.01,266.036682129
528080.01,2265461.01,270.012298584
528080.01,2265561.01,270.012298584
528080.01,2265661.01,258.085449219
528080.01,2265761.01,258.085449219
528080.01,2265861.01,259.146575928
528080.01,2265961.01,261.502349854
528080.01,2266061.01,263.328765869
528080.01,2266161.01,263.197570801
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,268.8644104
528180.01,2261161.01,267.283355713
528180.01,2261261.01,274.951873779
