"X","Y","H30_Lusit (Depth)"
527380.01,2264161.01,394.569641113
527380.01,2264261.01,398.709625244
527380.01,2264361.01,400.146209717
527380.01,2264461.01,407.183380127
527380.01,2264561.01,412.535400391
527380.01,2264661.01,417.306488037
527380.01,2264761.01,432.784759521
527380.01,2264861.01,435.297332764
527380.01,2264961.01,436.395782471
527380.01,2265061.01,440.289764404
527380.01,2265161.01,438.417358398
527380.01,2265261.01,435.380889893
527380.01,2265361.01,434.64541626
527380.01,2265461.01,435.218200684
527380.01,2265561.01,434.61050415
527380.01,2265661.01,432.693786621
527380.01,2265761.01,431.391906738
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,377.837249756
527480.01,2261361.01,376.974395752
527480.01,2261461.01,375.546234131
527480.01,2261561.01,376.728515625
527480.01,2261661.01,381.912384033
527480.01,2261761.01,384.176513672
527480.01,2261861.01,386.830322266
527480.01,2261961.01,389.915771484
527480.01,2262061.01,391.650238037
527480.01,2262161.01,394.429443359
527480.01,2262261.01,389.784057617
527480.01,2262361.01,384.840545654
527480.01,2262461.01,386.888122559
527480.01,2262561.01,389.809173584
527480.01,2262661.01,392.96081543
527480.01,2262761.01,394.046264648
527480.01,2262861.01,395.148162842
527480.01,2262961.01,393.777191162
527480.01,2263061.01,394.594482422
527480.01,2263161.01,396.507751465
527480.01,2263261.01,396.932098389
527480.01,2263361.01,397.035736084
527480.01,2263461.01,396.270294189
527480.01,2263561.01,395.866210938
527480.01,2263661.01,395.117218018
527480.01,2263761.01,394.753875732
527480.01,2263861.01,394.753875732
527480.01,2263961.01,394.753875732
527480.01,2264061.01,394.753875732
527480.01,2264161.01,393.609588623
527480.01,2264261.01,395.695587158
527480.01,2264361.01,400.847137451
527480.01,2264461.01,410.329467773
527480.01,2264561.01,418.769989014
527480.01,2264661.01,427.046234131
527480.01,2264761.01,431.018768311
527480.01,2264861.01,430.997253418
527480.01,2264961.01,434.269592285
527480.01,2265061.01,441.450805664
527480.01,2265161.01,439.695159912
527480.01,2265261.01,438.117614746
527480.01,2265361.01,436.701599121
527480.01,2265461.01,436.059661865
527480.01,2265561.01,432.908477783
527480.01,2265661.01,434.658691406
527480.01,2265761.01,434.341705322
527480.01,2265861.01,432.877075195
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,377.558837891
527580.01,2261361.01,378.27835083
527580.01,2261461.01,377.835021973
527580.01,2261561.01,379.114074707
527580.01,2261661.01,381.333068848
527580.01,2261761.01,383.225128174
527580.01,2261861.01,386.079467773
527580.01,2261961.01,388.85043335
527580.01,2262061.01,390.1746521
527580.01,2262161.01,391.57043457
527580.01,2262261.01,385.040466309
527580.01,2262361.01,382.753479004
527580.01,2262461.01,385.3230896
527580.01,2262561.01,387.994659424
527580.01,2262661.01,389.321136475
527580.01,2262761.01,390.78692627
527580.01,2262861.01,394.042266846
527580.01,2262961.01,394.415374756
527580.01,2263061.01,394.143371582
527580.01,2263161.01,396.294769287
527580.01,2263261.01,397.345245361
527580.01,2263361.01,393.960235596
527580.01,2263461.01,393.455200195
