"X","Y","H40_Batho (Depth)"
527480.01,2261261.01,778.374572754
527480.01,2261361.01,780.526489258
527480.01,2261461.01,781.487487793
527480.01,2261561.01,782.954772949
527480.01,2261661.01,783.571838379
527480.01,2261761.01,784.065917969
527480.01,2261861.01,783.904052734
527480.01,2261961.01,783.670288086
527480.01,2262061.01,783.625671387
527480.01,2262161.01,784.291320801
527480.01,2262261.01,786.775512695
527480.01,2262361.01,789.155273438
527480.01,2262461.01,790.707092285
527480.01,2262561.01,792.08795166
527480.01,2262661.01,793.588012695
527480.01,2262761.01,793.588012695
527480.01,2262861.01,793.588012695
527480.01,2262961.01,794.552368164
527480.01,2263061.01,794.552368164
527480.01,2263161.01,763.612487793
527480.01,2263261.01,740.862121582
527480.01,2263361.01,741.971801758
527480.01,2263461.01,743.855041504
527480.01,2263561.01,746.215332031
527480.01,2263661.01,746.922546387
527480.01,2263761.01,748.235595703
527480.01,2263861.01,753.100280762
527480.01,2263961.01,753.625
527480.01,2264061.01,756.996826172
527480.01,2264161.01,762.206237793
527480.01,2264261.01,770.672180176
527480.01,2264361.01,779.093383789
527480.01,2264461.01,787.828125
527480.01,2264561.01,793.410095215
527480.01,2264661.01,798.643859863
527480.01,2264761.01,811.485229492
527480.01,2264861.01,818.310119629
527480.01,2264961.01,820.742492676
527480.01,2265061.01,823.505615234
527480.01,2265161.01,825.794189453
527480.01,2265261.01,828.327026367
527480.01,2265361.01,830.827453613
527480.01,2265461.01,831.182373047
527480.01,2265561.01,830.47277832
527480.01,2265661.01,790.396606445
527480.01,2265761.01,794.569274902
527480.01,2265861.01,795.786254883
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,775.660705566
527580.01,2261361.01,779.241638184
527580.01,2261461.01,779.801635742
527580.01,2261561.01,783.249511719
527580.01,2261661.01,784.241210938
527580.01,2261761.01,784.246887207
527580.01,2261861.01,783.241943359
527580.01,2261961.01,783.445800781
527580.01,2262061.01,781.762634277
527580.01,2262161.01,779.624084473
527580.01,2262261.01,782.712585449
527580.01,2262361.01,783.005493164
527580.01,2262461.01,785.776062012
527580.01,2262561.01,789.164367676
527580.01,2262661.01,790.383117676
527580.01,2262761.01,792.001953125
527580.01,2262861.01,793.73815918
527580.01,2262961.01,794.552368164
527580.01,2263061.01,794.552368164
527580.01,2263161.01,794.552368164
527580.01,2263261.01,794.552368164
527580.01,2263361.01,794.955078125
527580.01,2263461.01,793.412841797
527580.01,2263561.01,746.764587402
527580.01,2263661.01,747.144775391
527580.01,2263761.01,747.510559082
527580.01,2263861.01,749.722045898
527580.01,2263961.01,751.35357666
527580.01,2264061.01,754.612121582
527580.01,2264161.01,757.035522461
527580.01,2264261.01,758.764465332
527580.01,2264361.01,767.578796387
527580.01,2264461.01,790.204528809
527580.01,2264561.01,791.460327148
527580.01,2264661.01,784.223632813
527580.01,2264761.01,785.962341309
527580.01,2264861.01,822.56842041
527580.01,2264961.01,823.506103516
527580.01,2265061.01,825.681091309
527580.01,2265161.01,831.182373047
527580.01,2265261.01,831.182373047
527580.01,2265361.01,831.182373047
527580.01,2265461.01,789.245361328
527580.01,2265561.01,789.245361328
527580.01,2265661.01,790.396606445
527580.01,2265761.01,793.754638672
527580.01,2265861.01,795.115356445
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,774.030151367
527680.01,2261261.01,775.235900879
527680.01,2261361.01,775.98638916
527680.01,2261461.01,777.56439209
527680.01,2261561.01,780.96875
527680.01,2261661.01,782.881103516
527680.01,2261761.01,782.558898926
527680.01,2261861.01,783.63873291
527680.01,2261961.01,781.739624023
527680.01,2262061.01,777.683044434
527680.01,2262161.01,777.72833252
527680.01,2262261.01,779.819396973
527680.01,2262361.01,781.634338379
527680.01,2262461.01,783.409912109
527680.01,2262561.01,787.97845459
527680.01,2262661.01,790.237243652
527680.01,2262761.01,792.680419922
527680.01,2262861.01,794.069335938
527680.01,2262961.01,794.413330078
527680.01,2263061.01,794.391601563
527680.01,2263161.01,794.47857666
527680.01,2263261.01,794.548706055
527680.01,2263361.01,794.700683594
527680.01,2263461.01,795.230163574
527680.01,2263561.01,795.775085449
527680.01,2263661.01,795.977233887
527680.01,2263761.01,756.809143066
527680.01,2263861.01,751.337463379
527680.01,2263961.01,753.14465332
527680.01,2264061.01,754.712402344
527680.01,2264161.01,756.470336914
527680.01,2264261.01,757.504638672
527680.01,2264361.01,761.268554688
527680.01,2264461.01,768.546142578
527680.01,2264561.01,773.733642578
527680.01,2264661.01,781.611572266
527680.01,2264761.01,784.508850098
527680.01,2264861.01,822.469360352
527680.01,2264961.01,823.197021484
527680.01,2265061.01,824.293395996
527680.01,2265161.01,789.245361328
527680.01,2265261.01,789.245361328
527680.01,2265361.01,789.245361328
527680.01,2265461.01,789.890808105
527680.01,2265561.01,791.581176758
527680.01,2265661.01,793.169799805
527680.01,2265761.01,796.079833984
527680.01,2265861.01,795.896728516
527680.01,2265961.01,797.062927246
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,775.118041992
527780.01,2261261.01,775.090209961
527780.01,2261361.01,775.090209961
527780.01,2261461.01,776.382263184
527780.01,2261561.01,778.370483398
527780.01,2261661.01,777.540100098
527780.01,2261761.01,778.911682129
527780.01,2261861.01,781.421203613
527780.01,2261961.01,777.311828613
527780.01,2262061.01,775.651184082
527780.01,2262161.01,777.519287109
527780.01,2262261.01,780.298583984
527780.01,2262361.01,782.409790039
527780.01,2262461.01,785.172851563
527780.01,2262561.01,787.704956055
527780.01,2262661.01,789.679382324
527780.01,2262761.01,792.68572998
527780.01,2262861.01,794.382446289
527780.01,2262961.01,794.334655762
527780.01,2263061.01,794.390014648
527780.01,2263161.01,794.483154297
527780.01,2263261.01,794.450439453
527780.01,2263361.01,794.327209473
527780.01,2263461.01,794.940551758
527780.01,2263561.01,795.651306152
527780.01,2263661.01,795.870605469
527780.01,2263761.01,795.977233887
527780.01,2263861.01,795.977233887
527780.01,2263961.01,795.977233887
527780.01,2264061.01,795.977233887
527780.01,2264161.01,766.404907227
527780.01,2264261.01,793.799560547
527780.01,2264361.01,794.992431641
527780.01,2264461.01,798.958190918
527780.01,2264561.01,802.770385742
527780.01,2264661.01,782.084899902
527780.01,2264761.01,783.768432617
527780.01,2264861.01,784.508850098
527780.01,2264961.01,785.327514648
527780.01,2265061.01,787.899291992
527780.01,2265161.01,788.299682617
527780.01,2265261.01,789.245361328
527780.01,2265361.01,789.40637207
527780.01,2265461.01,790.935180664
527780.01,2265561.01,791.160705566
527780.01,2265661.01,794.257751465
527780.01,2265761.01,797.085449219
527780.01,2265861.01,798.43170166
527780.01,2265961.01,799.111328125
527780.01,2266061.01,800.371582031
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,778.474243164
527880.01,2261261.01,775.00012207
527880.01,2261361.01,775.00012207
527880.01,2261461.01,775.10534668
527880.01,2261561.01,776.583435059
527880.01,2261661.01,776.879150391
527880.01,2261761.01,776.644592285
527880.01,2261861.01,778.720458984
527880.01,2261961.01,777.147216797
527880.01,2262061.01,775.776367188
527880.01,2262161.01,778.806945801
527880.01,2262261.01,781.329284668
527880.01,2262361.01,782.446166992
527880.01,2262461.01,784.118591309
527880.01,2262561.01,786.725708008
527880.01,2262661.01,787.786560059
527880.01,2262761.01,790.885437012
527880.01,2262861.01,793.097351074
527880.01,2262961.01,793.750671387
527880.01,2263061.01,793.777954102
527880.01,2263161.01,794.655029297
527880.01,2263261.01,793.875488281
527880.01,2263361.01,793.374572754
527880.01,2263461.01,794.113342285
527880.01,2263561.01,794.932434082
527880.01,2263661.01,795.232543945
527880.01,2263761.01,795.348999023
527880.01,2263861.01,795.875671387
527880.01,2263961.01,795.923950195
527880.01,2264061.01,795.916442871
527880.01,2264161.01,795.507019043
527880.01,2264261.01,794.479125977
527880.01,2264361.01,792.117675781
527880.01,2264461.01,776.788757324
527880.01,2264561.01,782.084899902
527880.01,2264661.01,783.48614502
527880.01,2264761.01,784.939697266
527880.01,2264861.01,786.163635254
527880.01,2264961.01,795.573669434
527880.01,2265061.01,790.031188965
527880.01,2265161.01,798.420593262
527880.01,2265261.01,789.187744141
527880.01,2265361.01,790.206115723
527880.01,2265461.01,789.160705566
527880.01,2265561.01,791.406738281
527880.01,2265661.01,795.044494629
527880.01,2265761.01,797.750427246
527880.01,2265861.01,799.340637207
527880.01,2265961.01,801.715454102
527880.01,2266061.01,803.019958496
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,793.13482666
527980.01,2261161.01,793.429992676
527980.01,2261261.01,793.651367188
527980.01,2261361.01,793.651367188
527980.01,2261461.01,775.353820801
527980.01,2261561.01,775.98638916
527980.01,2261661.01,776.666015625
527980.01,2261761.01,774.714477539
527980.01,2261861.01,778.449584961
527980.01,2261961.01,774.80279541
527980.01,2262061.01,775.087463379
527980.01,2262161.01,778.704162598
527980.01,2262261.01,780.193115234
527980.01,2262361.01,781.860839844
527980.01,2262461.01,782.720947266
527980.01,2262561.01,784.109069824
527980.01,2262661.01,784.846801758
527980.01,2262761.01,786.702026367
527980.01,2262861.01,789.08013916
527980.01,2262961.01,789.313171387
527980.01,2263061.01,790.456481934
527980.01,2263161.01,792.141113281
527980.01,2263261.01,791.351379395
527980.01,2263361.01,791.820556641
527980.01,2263461.01,793.372802734
527980.01,2263561.01,794.246643066
527980.01,2263661.01,794.911804199
527980.01,2263761.01,796.83001709
