"X","Y","H80_r3a (Depth)"
527680.01,2262561.01,1091.300048828
527680.01,2262661.01,1098.511230469
527680.01,2262761.01,1099.946044922
527680.01,2262861.01,1100.185180664
527680.01,2262961.01,1100.185180664
527680.01,2263061.01,1100.185180664
527680.01,2263161.01,1100.185180664
527680.01,2263261.01,1070.351196289
527680.01,2263361.01,1060.698608398
527680.01,2263461.01,1043.908325195
527680.01,2263561.01,1043.903564453
527680.01,2263661.01,1043.903564453
527680.01,2263761.01,1043.961791992
527680.01,2263861.01,1044.208740234
527680.01,2263961.01,1044.41027832
527680.01,2264061.01,1044.223999023
527680.01,2264161.01,1047.344360352
527680.01,2264261.01,1047.83581543
527680.01,2264361.01,1052.155273438
527680.01,2264461.01,1060.055908203
527680.01,2264561.01,1069.255493164
527680.01,2264661.01,1079.53894043
527680.01,2264761.01,1076.658081055
527680.01,2264861.01,1072.045043945
527680.01,2264961.01,1072.045043945
527680.01,2265061.01,1072.045043945
527680.01,2265161.01,1072.3125
527680.01,2265261.01,1072.469238281
527680.01,2265361.01,1073.200317383
527680.01,2265461.01,1073.727783203
527680.01,2265561.01,1078.814819336
527680.01,2265661.01,1080.910522461
527680.01,2265761.01,1080.901245117
527680.01,2265861.01,1081.553100586
527680.01,2265961.01,1084.443725586
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,1084.085327148
527780.01,2261261.01,1084.131103516
527780.01,2261361.01,1083.923095703
527780.01,2261461.01,1086.09777832
527780.01,2261561.01,1088.423828125
527780.01,2261661.01,1086.105102539
527780.01,2261761.01,1088.50793457
527780.01,2261861.01,1090.650878906
527780.01,2261961.01,1089.299682617
527780.01,2262061.01,1087.287353516
527780.01,2262161.01,1087.572387695
527780.01,2262261.01,1089.763671875
527780.01,2262361.01,1091.33215332
527780.01,2262461.01,1093.755371094
527780.01,2262561.01,1093.277954102
527780.01,2262661.01,1097.153930664
527780.01,2262761.01,1098.997802734
527780.01,2262861.01,1100.128662109
527780.01,2262961.01,1100.379150391
527780.01,2263061.01,1100.438598633
527780.01,2263161.01,1100.202514648
527780.01,2263261.01,1099.732177734
527780.01,2263361.01,1099.269287109
527780.01,2263461.01,1098.373779297
527780.01,2263561.01,1043.908325195
527780.01,2263661.01,1043.908325195
527780.01,2263761.01,1043.935668945
527780.01,2263861.01,1044.037841797
527780.01,2263961.01,1044.223510742
527780.01,2264061.01,1044.5078125
527780.01,2264161.01,1045.074462891
527780.01,2264261.01,1045.722412109
527780.01,2264361.01,1047.703735352
527780.01,2264461.01,1052.477172852
527780.01,2264561.01,1056.092773438
527780.01,2264661.01,1083.099609375
527780.01,2264761.01,1077.172119141
527780.01,2264861.01,1075.040771484
527780.01,2264961.01,1074.508422852
527780.01,2265061.01,1071.94128418
527780.01,2265161.01,1071.540771484
527780.01,2265261.01,1071.953735352
527780.01,2265361.01,1072.818115234
527780.01,2265461.01,1074.82800293
527780.01,2265561.01,1077.48828125
527780.01,2265661.01,1080.699462891
527780.01,2265761.01,1082.968994141
527780.01,2265861.01,1084.536132813
527780.01,2265961.01,1085.942138672
527780.01,2266061.01,1087.939208984
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,1082.78515625
527880.01,2261261.01,1082.599731445
527880.01,2261361.01,1082.36328125
527880.01,2261461.01,1082.26953125
527880.01,2261561.01,1081.667724609
527880.01,2261661.01,1082.579101563
527880.01,2261761.01,1084.968505859
527880.01,2261861.01,1087.307739258
527880.01,2261961.01,1087.37512207
527880.01,2262061.01,1086.434936523
527880.01,2262161.01,1088.60168457
527880.01,2262261.01,1090.065795898
527880.01,2262361.01,1089.908691406
527880.01,2262461.01,1090.637573242
527880.01,2262561.01,1093.177246094
527880.01,2262661.01,1094.721435547
527880.01,2262761.01,1098.770141602
527880.01,2262861.01,1100.552246094
527880.01,2262961.01,1101.180419922
527880.01,2263061.01,1100.387695313
527880.01,2263161.01,1099.467407227
527880.01,2263261.01,1099.237426758
527880.01,2263361.01,1098.294677734
527880.01,2263461.01,1097.371704102
527880.01,2263561.01,1096.262207031
527880.01,2263661.01,1094.561401367
527880.01,2263761.01,1094.561401367
527880.01,2263861.01,1094.561401367
527880.01,2263961.01,1094.561401367
527880.01,2264061.01,1057.951049805
527880.01,2264161.01,1044.782836914
527880.01,2264261.01,1045.083251953
527880.01,2264361.01,1046.895385742
527880.01,2264461.01,1050.288452148
527880.01,2264561.01,1077.42578125
527880.01,2264661.01,1080.694213867
527880.01,2264761.01,1073.943847656
527880.01,2264861.01,1075.684570313
527880.01,2264961.01,1081.71862793
527880.01,2265061.01,1070.857543945
527880.01,2265161.01,1073.181274414
527880.01,2265261.01,1072.492797852
527880.01,2265361.01,1074.278442383
527880.01,2265461.01,1075.514648438
527880.01,2265561.01,1077.904663086
527880.01,2265661.01,1081.000854492
527880.01,2265761.01,1084.514404297
527880.01,2265861.01,1086.521118164
527880.01,2265961.01,1088.685058594
527880.01,2266061.01,1088.441162109
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,1109.967285156
527980.01,2261161.01,1109.967285156
527980.01,2261261.01,1081.938110352
527980.01,2261361.01,1081.938110352
527980.01,2261461.01,1081.938110352
527980.01,2261561.01,1081.747070313
527980.01,2261661.01,1081.747070313
527980.01,2261761.01,1084.016601563
527980.01,2261861.01,1084.901733398
527980.01,2261961.01,1085.030517578
527980.01,2262061.01,1086.616088867
527980.01,2262161.01,1089.921264648
527980.01,2262261.01,1090.467041016
527980.01,2262361.01,1089.607421875
527980.01,2262461.01,1090.308837891
527980.01,2262561.01,1091.096801758
527980.01,2262661.01,1091.940673828
527980.01,2262761.01,1093.460571289
527980.01,2262861.01,1095.594848633
527980.01,2262961.01,1095.320800781
527980.01,2263061.01,1095.682006836
527980.01,2263161.01,1097.411254883
527980.01,2263261.01,1096.377807617
527980.01,2263361.01,1096.12487793
527980.01,2263461.01,1095.56628418
527980.01,2263561.01,1095.648925781
527980.01,2263661.01,1094.975585938
527980.01,2263761.01,1094.815551758
527980.01,2263861.01,1094.815551758
527980.01,2263961.01,1094.618530273
527980.01,2264061.01,1094.323486328
527980.01,2264161.01,1092.838989258
527980.01,2264261.01,1088.870117188
527980.01,2264361.01,1081.584472656
527980.01,2264461.01,1077.637451172
527980.01,2264561.01,1077.42578125
527980.01,2264661.01,1078.793823242
527980.01,2264761.01,1071.91796875
527980.01,2264861.01,1072.893066406
527980.01,2264961.01,1074.629638672
527980.01,2265061.01,1076.075317383
527980.01,2265161.01,1075.529418945
527980.01,2265261.01,1074.287963867
527980.01,2265361.01,1075.021606445
527980.01,2265461.01,1077.099243164
527980.01,2265561.01,1081.263671875
527980.01,2265661.01,1083.931396484
527980.01,2265761.01,1086.991577148
527980.01,2265861.01,1089.623046875
527980.01,2265961.01,1086.869873047
527980.01,2266061.01,1083.822631836
527980.01,2266161.01,1082.931762695
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,1110.078735352
528080.01,2261161.01,1109.967285156
528080.01,2261261.01,1109.967285156
528080.01,2261361.01,1109.967285156
528080.01,2261461.01,1081.938110352
528080.01,2261561.01,1081.938110352
528080.01,2261661.01,1081.938110352
528080.01,2261761.01,1082.098388672
528080.01,2261861.01,1083.612792969
528080.01,2261961.01,1088.779663086
528080.01,2262061.01,1089.220581055
528080.01,2262161.01,1090.424926758
528080.01,2262261.01,1091.036010742
528080.01,2262361.01,1090.074829102
528080.01,2262461.01,1089.706298828
528080.01,2262561.01,1089.362304688
528080.01,2262661.01,1089.193237305
528080.01,2262761.01,1090.633300781
528080.01,2262861.01,1089.73828125
528080.01,2262961.01,1089.664672852
528080.01,2263061.01,1090.095947266
528080.01,2263161.01,1090.14440918
528080.01,2263261.01,1089.846801758
528080.01,2263361.01,1090.610473633
528080.01,2263461.01,1093.145385742
528080.01,2263561.01,1093.543701172
528080.01,2263661.01,1094.366210938
528080.01,2263761.01,1095.226806641
528080.01,2263861.01,1095.226806641
528080.01,2263961.01,1093.806640625
528080.01,2264061.01,1092.150634766
528080.01,2264161.01,1085.481933594
528080.01,2264261.01,1081.989501953
528080.01,2264361.01,1080.508544922
528080.01,2264461.01,1078.21105957
528080.01,2264561.01,1069.466552734
528080.01,2264661.01,1075.668579102
528080.01,2264761.01,1077.036132813
528080.01,2264861.01,1076.72265625
528080.01,2264961.01,1077.003173828
528080.01,2265061.01,1075.673828125
528080.01,2265161.01,1072.086425781
528080.01,2265261.01,1071.315917969
528080.01,2265361.01,1073.165161133
528080.01,2265461.01,1073.950683594
528080.01,2265561.01,1077.836669922
528080.01,2265661.01,1079.768432617
528080.01,2265761.01,1079.702392578
528080.01,2265861.01,1081.775512695
528080.01,2265961.01,1082.30456543
528080.01,2266061.01,1080.977783203
528080.01,2266161.01,1080.168457031
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,1110.190185547
528180.01,2261161.01,1109.893920898
528180.01,2261261.01,1109.604980469
528180.01,2261361.01,1108.900634766
528180.01,2261461.01,1107.956298828
528180.01,2261561.01,1105.984863281
528180.01,2261661.01,1104.796508789
528180.01,2261761.01,1081.938110352
528180.01,2261861.01,1077.005249023
528180.01,2261961.01,1090.480102539
528180.01,2262061.01,1090.376220703
528180.01,2262161.01,1090.017578125
528180.01,2262261.01,1090.641723633
528180.01,2262361.01,1089.483520508
528180.01,2262461.01,1089.106079102
528180.01,2262561.01,1088.59375
528180.01,2262661.01,1087.885375977
528180.01,2262761.01,1087.572998047
528180.01,2262861.01,1086.823364258
528180.01,2262961.01,1087.435058594
528180.01,2263061.01,1087.442382813
528180.01,2263161.01,1086.828857422
528180.01,2263261.01,1088.813232422
528180.01,2263361.01,1089.075683594
528180.01,2263461.01,1089.190307617
528180.01,2263561.01,1089.527709961
528180.01,2263661.01,1091.109741211
528180.01,2263761.01,1092.802612305
528180.01,2263861.01,1091.252807617
528180.01,2263961.01,1086.546875
528180.01,2264061.01,1081.395141602
528180.01,2264161.01,1078.742553711
528180.01,2264261.01,1077.530639648
