"X","Y","H70_Arg_lev (Depth)"
527680.01,2264261.01,982.78717041
527680.01,2264361.01,986.944946289
527680.01,2264461.01,995.821594238
527680.01,2264561.01,1011.525024414
527680.01,2264661.01,1028.979248047
527680.01,2264761.01,1004.899475098
527680.01,2264861.01,1005.059265137
527680.01,2264961.01,1008.326782227
527680.01,2265061.01,1008.326782227
527680.01,2265161.01,1008.383850098
527680.01,2265261.01,1008.65411377
527680.01,2265361.01,1008.987792969
527680.01,2265461.01,1016.477233887
527680.01,2265561.01,1017.136535645
527680.01,2265661.01,1018.696044922
527680.01,2265761.01,1019.229492188
527680.01,2265861.01,1019.144104004
527680.01,2265961.01,1021.268127441
527680.01,2266061.01,1022.053039551
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,1012.518493652
527780.01,2261261.01,1013.127197266
527780.01,2261361.01,1013.053100586
527780.01,2261461.01,1014.677429199
527780.01,2261561.01,1019.38873291
527780.01,2261661.01,1018.054077148
527780.01,2261761.01,1018.922912598
527780.01,2261861.01,1021.31640625
527780.01,2261961.01,1019.977844238
527780.01,2262061.01,1018.121643066
527780.01,2262161.01,1019.211364746
527780.01,2262261.01,1021.503234863
527780.01,2262361.01,1023.383728027
527780.01,2262461.01,1025.427368164
527780.01,2262561.01,1028.710571289
527780.01,2262661.01,1030.430297852
527780.01,2262761.01,1032.733276367
527780.01,2262861.01,1033.576049805
527780.01,2262961.01,1034.340942383
527780.01,2263061.01,1034.375732422
527780.01,2263161.01,1033.843139648
527780.01,2263261.01,1033.315795898
527780.01,2263361.01,1033.087280273
527780.01,2263461.01,1032.218017578
527780.01,2263561.01,1031.885009766
527780.01,2263661.01,1031.56262207
527780.01,2263761.01,980.129516602
527780.01,2263861.01,978.95880127
527780.01,2263961.01,979.469604492
527780.01,2264061.01,980.43737793
527780.01,2264161.01,981.252441406
527780.01,2264261.01,982.001220703
527780.01,2264361.01,984.172485352
527780.01,2264461.01,987.959716797
527780.01,2264561.01,991.800415039
527780.01,2264661.01,997.992980957
527780.01,2264761.01,1003.403564453
527780.01,2264861.01,1009.369995117
527780.01,2264961.01,1008.634399414
527780.01,2265061.01,1008.326782227
527780.01,2265161.01,1008.326782227
527780.01,2265261.01,1008.610839844
527780.01,2265361.01,1008.469848633
527780.01,2265461.01,1014.02722168
527780.01,2265561.01,1015.252868652
527780.01,2265661.01,1017.1875
527780.01,2265761.01,1019.135375977
527780.01,2265861.01,1021.186340332
527780.01,2265961.01,1024.102294922
527780.01,2266061.01,1023.275878906
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,1013.166809082
527880.01,2261261.01,1012.507324219
527880.01,2261361.01,1012.44934082
527880.01,2261461.01,1011.71661377
527880.01,2261561.01,1012.189819336
527880.01,2261661.01,1012.798461914
527880.01,2261761.01,1015.360717773
527880.01,2261861.01,1018.067871094
527880.01,2261961.01,1018.692687988
