"X","Y","H01_T20m (Depth)"
527380.01,2262761.01,-95.086296082
527380.01,2262861.01,-94.778213501
527380.01,2262961.01,-94.961242676
527380.01,2263061.01,-94.483131409
527380.01,2263161.01,-93.054168701
527380.01,2263261.01,-92.791091919
527380.01,2263361.01,-91.582199097
527380.01,2263461.01,-90.77935791
527380.01,2263561.01,-90.694839478
527380.01,2263661.01,-88.190734863
527380.01,2263761.01,-85.532241821
527380.01,2263861.01,-84.346611023
527380.01,2263961.01,-81.215377808
527380.01,2264061.01,-80.451652527
527380.01,2264161.01,-85.000816345
527380.01,2264261.01,-89.201271057
527380.01,2264361.01,-90.653701782
527380.01,2264461.01,-91.341758728
527380.01,2264561.01,-91.740180969
527380.01,2264661.01,-88.292671204
527380.01,2264761.01,-83.174308777
527380.01,2264861.01,-82.035903931
527380.01,2264961.01,-81.555221558
527380.01,2265061.01,-82.032432556
527380.01,2265161.01,-84.378562927
527380.01,2265261.01,-85.934165955
527380.01,2265361.01,-85.082359314
527380.01,2265461.01,-85.677459717
527380.01,2265561.01,-86.730941772
527380.01,2265661.01,-88.920646667
527380.01,2265761.01,-90.25177002
527380.01,2265861.01,-91.354408264
527380.01,2265961.01,-92.388389587
527480.01,2261161.01,-83.444496155
527480.01,2261261.01,-84.674026489
527480.01,2261361.01,-84.624969482
527480.01,2261461.01,-83.876525879
527480.01,2261561.01,-83.844749451
527480.01,2261661.01,-85.866798401
527480.01,2261761.01,-88.149635315
527480.01,2261861.01,-91.025123596
527480.01,2261961.01,-92.703636169
527480.01,2262061.01,-93.29851532
527480.01,2262161.01,-92.204284668
527480.01,2262261.01,-91.918067932
527480.01,2262361.01,-92.064941406
527480.01,2262461.01,-91.122894287
527480.01,2262561.01,-92.972763062
527480.01,2262661.01,-94.863876343
527480.01,2262761.01,-94.98449707
527480.01,2262861.01,-94.942092896
527480.01,2262961.01,-95.113204956
527480.01,2263061.01,-94.574745178
527480.01,2263161.01,-93.471458435
527480.01,2263261.01,-93.586929321
527480.01,2263361.01,-92.450630188
527480.01,2263461.01,-90.943695068
527480.01,2263561.01,-91.029335022
527480.01,2263661.01,-89.127334595
527480.01,2263761.01,-86.844436646
527480.01,2263861.01,-84.661231995
527480.01,2263961.01,-79.848655701
527480.01,2264061.01,-81.533531189
527480.01,2264161.01,-87.582870483
527480.01,2264261.01,-91.930206299
527480.01,2264361.01,-93.474731445
527480.01,2264461.01,-92.937011719
527480.01,2264561.01,-91.996627808
527480.01,2264661.01,-89.864433289
527480.01,2264761.01,-87.249130249
527480.01,2264861.01,-87.625350952
527480.01,2264961.01,-86.911315918
527480.01,2265061.01,-84.512809753
527480.01,2265161.01,-85.968093872
527480.01,2265261.01,-89.422271729
527480.01,2265361.01,-91.063064575
527480.01,2265461.01,-88.503189087
527480.01,2265561.01,-87.410758972
527480.01,2265661.01,-88.821075439
527480.01,2265761.01,-89.975837708
527480.01,2265861.01,-90.97177887
527480.01,2265961.01,-91.68170166
527580.01,2261161.01,-82.236038208
527580.01,2261261.01,-83.72795105
527580.01,2261361.01,-83.765769958
527580.01,2261461.01,-83.146690369
527580.01,2261561.01,-82.653129578
527580.01,2261661.01,-83.966163635
527580.01,2261761.01,-86.492530823
527580.01,2261861.01,-89.738807678
527580.01,2261961.01,-91.414108276
527580.01,2262061.01,-92.337371826
527580.01,2262161.01,-92.974433899
527580.01,2262261.01,-92.664108276
527580.01,2262361.01,-92.112632751
527580.01,2262461.01,-92.073532104
527580.01,2262561.01,-93.622772217
527580.01,2262661.01,-94.521446228
527580.01,2262761.01,-95.444458008
527580.01,2262861.01,-95.029563904
527580.01,2262961.01,-94.973968506
527580.01,2263061.01,-94.299255371
527580.01,2263161.01,-93.72077179
527580.01,2263261.01,-94.335151672
527580.01,2263361.01,-93.6434021
527580.01,2263461.01,-91.516479492
527580.01,2263561.01,-90.624458313
527580.01,2263661.01,-90.123161316
527580.01,2263761.01,-88.189201355
527580.01,2263861.01,-84.796295166
527580.01,2263961.01,-81.021057129
527580.01,2264061.01,-81.575836182
527580.01,2264161.01,-87.022079468
527580.01,2264261.01,-92.499839783
527580.01,2264361.01,-95.43019104
527580.01,2264461.01,-94.886550903
527580.01,2264561.01,-92.645248413
527580.01,2264661.01,-92.178070068
527580.01,2264761.01,-91.523132324
527580.01,2264861.01,-92.423858643
527580.01,2264961.01,-92.904418945
527580.01,2265061.01,-88.73299408
527580.01,2265161.01,-88.575523376
527580.01,2265261.01,-91.230369568
527580.01,2265361.01,-92.219589233
527580.01,2265461.01,-92.186737061
527580.01,2265561.01,-93.059326172
527580.01,2265661.01,-92.350273132
527580.01,2265761.01,-91.641082764
527580.01,2265861.01,-92.111930847
527580.01,2265961.01,-92.010787964
527580.01,2266061.01,-93.862831116
527680.01,2261061.01,-81.448150635
527680.01,2261161.01,-81.69744873
527680.01,2261261.01,-82.440879822
527680.01,2261361.01,-82.243873596
527680.01,2261461.01,-82.497817993
527680.01,2261561.01,-82.494590759
527680.01,2261661.01,-83.289169312
527680.01,2261761.01,-85.892845154
527680.01,2261861.01,-88.685798645
527680.01,2261961.01,-89.621711731
527680.01,2262061.01,-90.736366272
527680.01,2262161.01,-92.34715271
527680.01,2262261.01,-93.049499512
527680.01,2262361.01,-93.144012451
527680.01,2262461.01,-93.127532959
527680.01,2262561.01,-93.494728088
527680.01,2262661.01,-93.489936829
527680.01,2262761.01,-95.356552124
527680.01,2262861.01,-95.118118286
527680.01,2262961.01,-94.646369934
527680.01,2263061.01,-94.129188538
527680.01,2263161.01,-93.861709595
527680.01,2263261.01,-94.667564392
527680.01,2263361.01,-94.059814453
527680.01,2263461.01,-92.117340088
527680.01,2263561.01,-89.803718567
527680.01,2263661.01,-89.585487366
527680.01,2263761.01,-88.056549072
527680.01,2263861.01,-84.586051941
527680.01,2263961.01,-81.453170776
527680.01,2264061.01,-80.948242188
527680.01,2264161.01,-85.897201538
527680.01,2264261.01,-91.900985718
527680.01,2264361.01,-95.448684692
527680.01,2264461.01,-95.857559204
527680.01,2264561.01,-94.3618927
527680.01,2264661.01,-94.562767029
527680.01,2264761.01,-94.334472656
527680.01,2264861.01,-94.497001648
527680.01,2264961.01,-94.007896423
527680.01,2265061.01,-91.371116638
527680.01,2265161.01,-90.82989502
527680.01,2265261.01,-91.750953674
527680.01,2265361.01,-91.806358337
527680.01,2265461.01,-94.035316467
527680.01,2265561.01,-96.780555725
527680.01,2265661.01,-95.663253784
527680.01,2265761.01,-94.034866333
527680.01,2265861.01,-93.899475098
527680.01,2265961.01,-93.931755066
527680.01,2266061.01,-95.696617126
527680.01,2266161.01,-97.57762146
527780.01,2261061.01,-81.112709045
527780.01,2261161.01,-80.854919434
527780.01,2261261.01,-80.976921082
527780.01,2261361.01,-81.191452026
527780.01,2261461.01,-81.703872681
527780.01,2261561.01,-82.965637207
527780.01,2261661.01,-84.228515625
527780.01,2261761.01,-86.848381042
527780.01,2261861.01,-88.644119263
527780.01,2261961.01,-89.005393982
527780.01,2262061.01,-90.214126587
527780.01,2262161.01,-91.664505005
527780.01,2262261.01,-92.613449097
527780.01,2262361.01,-94.274505615
527780.01,2262461.01,-94.276191711
527780.01,2262561.01,-93.411811829
527780.01,2262661.01,-92.699714661
527780.01,2262761.01,-93.950027466
527780.01,2262861.01,-94.250854492
527780.01,2262961.01,-94.07144928
527780.01,2263061.01,-93.965263367
527780.01,2263161.01,-94.608932495
527780.01,2263261.01,-95.085800171
527780.01,2263361.01,-94.099365234
527780.01,2263461.01,-92.148048401
527780.01,2263561.01,-89.703544617
527780.01,2263661.01,-88.086128235
527780.01,2263761.01,-86.627906799
527780.01,2263861.01,-84.304794312
527780.01,2263961.01,-82.05645752
527780.01,2264061.01,-79.970169067
527780.01,2264161.01,-85.004768372
527780.01,2264261.01,-90.537406921
527780.01,2264361.01,-94.982833862
527780.01,2264461.01,-95.966758728
527780.01,2264561.01,-94.88848877
527780.01,2264661.01,-95.793701172
527780.01,2264761.01,-95.86290741
527780.01,2264861.01,-95.427375793
527780.01,2264961.01,-94.585899353
527780.01,2265061.01,-92.426300049
527780.01,2265161.01,-91.974899292
527780.01,2265261.01,-92.146606445
527780.01,2265361.01,-92.543128967
527780.01,2265461.01,-95.053947449
527780.01,2265561.01,-96.960655212
527780.01,2265661.01,-97.108596802
527780.01,2265761.01,-96.382995605
527780.01,2265861.01,-95.644950867
527780.01,2265961.01,-96.117774963
527780.01,2266061.01,-97.097267151
527780.01,2266161.01,-98.563903809
527880.01,2261061.01,-80.118400574
527880.01,2261161.01,-79.730194092
527880.01,2261261.01,-80.010536194
527880.01,2261361.01,-80.829589844
527880.01,2261461.01,-81.249351501
527880.01,2261561.01,-83.064727783
527880.01,2261661.01,-85.250396729
527880.01,2261761.01,-86.621620178
527880.01,2261861.01,-87.761276245
527880.01,2261961.01,-89.14931488
527880.01,2262061.01,-89.892402649
527880.01,2262161.01,-91.019943237
527880.01,2262261.01,-91.872764587
527880.01,2262361.01,-93.424911499
527880.01,2262461.01,-94.199798584
527880.01,2262561.01,-93.654884338
527880.01,2262661.01,-92.48538208
527880.01,2262761.01,-93.024642944
527880.01,2262861.01,-93.110473633
527880.01,2262961.01,-92.892578125
527880.01,2263061.01,-93.136558533
527880.01,2263161.01,-93.843696594
527880.01,2263261.01,-94.495513916
527880.01,2263361.01,-93.975494385
527880.01,2263461.01,-91.880241394
527880.01,2263561.01,-89.48966217
527880.01,2263661.01,-87.667930603
527880.01,2263761.01,-85.825920105
527880.01,2263861.01,-84.303161621
527880.01,2263961.01,-83.179069519
527880.01,2264061.01,-79.812606812
527880.01,2264161.01,-83.392951965
527880.01,2264261.01,-88.924987793
527880.01,2264361.01,-93.554130554
527880.01,2264461.01,-95.459121704
527880.01,2264561.01,-95.646057129
527880.01,2264661.01,-96.717857361
527880.01,2264761.01,-96.957122803
527880.01,2264861.01,-96.771896362
527880.01,2264961.01,-96.004356384
527880.01,2265061.01,-94.004936218
527880.01,2265161.01,-92.695335388
527880.01,2265261.01,-92.580848694
527880.01,2265361.01,-93.897239685
527880.01,2265461.01,-96.233024597
527880.01,2265561.01,-98.421760559
527880.01,2265661.01,-99.453636169
527880.01,2265761.01,-99.421325684
527880.01,2265861.01,-97.452232361
527880.01,2265961.01,-96.104469299
527880.01,2266061.01,-97.808280945
527880.01,2266161.01,-99.560745239
527880.01,2266261.01,-99.681915283
527980.01,2260961.01,-79.821754456
527980.01,2261061.01,-79.238510132
527980.01,2261161.01,-78.977333069
527980.01,2261261.01,-80.089233398
527980.01,2261361.01,-80.814002991
527980.01,2261461.01,-81.917259216
527980.01,2261561.01,-83.834266663
527980.01,2261661.01,-86.019538879
527980.01,2261761.01,-86.214782715
527980.01,2261861.01,-86.933265686
527980.01,2261961.01,-87.930137634
527980.01,2262061.01,-88.661911011
527980.01,2262161.01,-89.979141235
527980.01,2262261.01,-91.690582275
527980.01,2262361.01,-92.712242126
527980.01,2262461.01,-92.659622192
527980.01,2262561.01,-92.689987183
527980.01,2262661.01,-92.162765503
527980.01,2262761.01,-92.339012146
527980.01,2262861.01,-92.49067688
527980.01,2262961.01,-91.953613281
527980.01,2263061.01,-92.08782196
527980.01,2263161.01,-92.976226807
527980.01,2263261.01,-93.766586304
527980.01,2263361.01,-94.170043945
527980.01,2263461.01,-92.920921326
527980.01,2263561.01,-89.155265808
527980.01,2263661.01,-87.544586182
527980.01,2263761.01,-85.919815063
527980.01,2263861.01,-84.576675415
527980.01,2263961.01,-81.747436523
527980.01,2264061.01,-80.080833435
527980.01,2264161.01,-82.626182556
527980.01,2264261.01,-87.544067383
527980.01,2264361.01,-91.683418274
527980.01,2264461.01,-93.782493591
527980.01,2264561.01,-95.302848816
527980.01,2264661.01,-96.748428345
527980.01,2264761.01,-96.965637207
527980.01,2264861.01,-97.88483429
527980.01,2264961.01,-97.315795898
527980.01,2265061.01,-96.308876038
527980.01,2265161.01,-95.462974548
527980.01,2265261.01,-94.607345581
527980.01,2265361.01,-96.016052246
527980.01,2265461.01,-97.876960754
527980.01,2265561.01,-99.970123291
527980.01,2265661.01,-102.632339478
527980.01,2265761.01,-102.778862
527980.01,2265861.01,-100.334701538
527980.01,2265961.01,-98.692092896
527980.01,2266061.01,-98.593856812
527980.01,2266161.01,-100.141204834
527980.01,2266261.01,-100.295570374
528080.01,2260961.01,-79.332244873
528080.01,2261061.01,-79.011116028
528080.01,2261161.01,-79.148200989
528080.01,2261261.01,-80.347938538
528080.01,2261361.01,-80.95464325
528080.01,2261461.01,-82.22429657
528080.01,2261561.01,-84.14629364
528080.01,2261661.01,-85.550643921
528080.01,2261761.01,-85.344085693
528080.01,2261861.01,-86.665397644
528080.01,2261961.01,-87.137306213
528080.01,2262061.01,-88.204460144
528080.01,2262161.01,-89.933036804
528080.01,2262261.01,-91.138977051
528080.01,2262361.01,-91.332969666
528080.01,2262461.01,-90.905853271
528080.01,2262561.01,-90.980331421
528080.01,2262661.01,-91.693885803
528080.01,2262761.01,-92.053855896
528080.01,2262861.01,-92.223365784
528080.01,2262961.01,-91.896980286
528080.01,2263061.01,-91.964454651
528080.01,2263161.01,-92.631958008
528080.01,2263261.01,-94.186470032
528080.01,2263361.01,-94.200920105
528080.01,2263461.01,-93.472938538
528080.01,2263561.01,-89.070655823
528080.01,2263661.01,-87.130493164
528080.01,2263761.01,-85.296722412
528080.01,2263861.01,-85.061576843
528080.01,2263961.01,-81.965126038
528080.01,2264061.01,-80.217514038
528080.01,2264161.01,-82.858009338
528080.01,2264261.01,-87.342796326
528080.01,2264361.01,-90.871902466
528080.01,2264461.01,-92.377090454
528080.01,2264561.01,-93.782852173
528080.01,2264661.01,-95.973968506
528080.01,2264761.01,-96.819328308
528080.01,2264861.01,-97.417922974
528080.01,2264961.01,-97.891265869
528080.01,2265061.01,-97.630905151
528080.01,2265161.01,-99.354133606
528080.01,2265261.01,-98.054603577
528080.01,2265361.01,-98.457115173
528080.01,2265461.01,-99.950042725
528080.01,2265561.01,-101.010902405
528080.01,2265661.01,-103.131622314
528080.01,2265761.01,-104.587547302
528080.01,2265861.01,-103.191375732
528080.01,2265961.01,-101.78187561
528080.01,2266061.01,-100.337173462
528080.01,2266161.01,-100.429573059
528080.01,2266261.01,-100.937149048
528080.01,2266361.01,-100.459968567
528180.01,2260961.01,-79.040527344
528180.01,2261061.01,-79.089179993
528180.01,2261161.01,-79.259292603
528180.01,2261261.01,-80.302528381
528180.01,2261361.01,-81.012275696
528180.01,2261461.01,-81.794258118
528180.01,2261561.01,-83.568031311
528180.01,2261661.01,-84.128051758
528180.01,2261761.01,-84.345802307
528180.01,2261861.01,-86.358436584
528180.01,2261961.01,-87.105735779
528180.01,2262061.01,-88.0885849
528180.01,2262161.01,-89.91557312
528180.01,2262261.01,-89.831260681
528180.01,2262361.01,-89.680786133
528180.01,2262461.01,-89.302963257
528180.01,2262561.01,-89.246513367
528180.01,2262661.01,-90.802528381
528180.01,2262761.01,-91.832260132
528180.01,2262861.01,-91.739120483
528180.01,2262961.01,-90.749450684
528180.01,2263061.01,-90.761581421
528180.01,2263161.01,-91.404197693
528180.01,2263261.01,-92.91178894
528180.01,2263361.01,-93.034683228
528180.01,2263461.01,-92.647438049
528180.01,2263561.01,-89.053085327
528180.01,2263661.01,-86.516052246
528180.01,2263761.01,-85.50604248
528180.01,2263861.01,-84.928146362
528180.01,2263961.01,-83.86971283
528180.01,2264061.01,-81.82334137
528180.01,2264161.01,-84.226921082
528180.01,2264261.01,-88.168899536
528180.01,2264361.01,-91.302467346
528180.01,2264461.01,-91.641563416
528180.01,2264561.01,-92.940460205
528180.01,2264661.01,-95.792221069
528180.01,2264761.01,-97.176567078
528180.01,2264861.01,-97.104194641
528180.01,2264961.01,-97.847999573
528180.01,2265061.01,-98.233764648
528180.01,2265161.01,-99.680450439
528180.01,2265261.01,-99.366577148
528180.01,2265361.01,-99.104278564
528180.01,2265461.01,-100.284454346
528180.01,2265561.01,-100.966552734
528180.01,2265661.01,-103.145507813
528180.01,2265761.01,-104.942176819
528180.01,2265861.01,-104.799285889
528180.01,2265961.01,-104.568595886
528180.01,2266061.01,-102.449249268
528180.01,2266161.01,-100.970535278
528180.01,2266261.01,-101.682151794
528180.01,2266361.01,-101.164916992
528280.01,2260861.01,-78.277328491
528280.01,2260961.01,-78.864822388
528280.01,2261061.01,-79.698570251
528280.01,2261161.01,-79.76914978
528280.01,2261261.01,-80.631904602
528280.01,2261361.01,-81.941467285
528280.01,2261461.01,-82.664207458
528280.01,2261561.01,-83.828613281
528280.01,2261661.01,-85.127464294
528280.01,2261761.01,-85.143409729
528280.01,2261861.01,-86.808067322
528280.01,2261961.01,-87.609260559
528280.01,2262061.01,-88.889579773
528280.01,2262161.01,-89.020866394
528280.01,2262261.01,-88.386734009
528280.01,2262361.01,-88.578773499
528280.01,2262461.01,-88.654098511
528280.01,2262561.01,-88.954437256
528280.01,2262661.01,-88.783210754
528280.01,2262761.01,-90.120910645
528280.01,2262861.01,-90.483352661
528280.01,2262961.01,-88.804244995
528280.01,2263061.01,-88.557655334
528280.01,2263161.01,-89.916061401
528280.01,2263261.01,-91.153671265
528280.01,2263361.01,-91.247741699
528280.01,2263461.01,-90.454322815
528280.01,2263561.01,-88.73235321
528280.01,2263661.01,-86.445732117
528280.01,2263761.01,-85.828521729
528280.01,2263861.01,-84.872673035
528280.01,2263961.01,-83.914123535
528280.01,2264061.01,-83.116226196
528280.01,2264161.01,-85.854484558
528280.01,2264261.01,-88.457649231
528280.01,2264361.01,-91.976913452
528280.01,2264461.01,-91.849777222
528280.01,2264561.01,-93.711616516
528280.01,2264661.01,-95.271858215
528280.01,2264761.01,-96.444732666
528280.01,2264861.01,-97.164733887
528280.01,2264961.01,-97.075317383
528280.01,2265061.01,-97.916381836
528280.01,2265161.01,-98.640518188
528280.01,2265261.01,-98.862251282
528280.01,2265361.01,-98.344558716
528280.01,2265461.01,-99.117530823
528280.01,2265561.01,-100.751693726
528280.01,2265661.01,-102.59992218
528280.01,2265761.01,-103.837371826
528280.01,2265861.01,-104.884307861
528280.01,2265961.01,-106.033180237
528280.01,2266061.01,-103.99458313
528280.01,2266161.01,-102.554161072
528280.01,2266261.01,-103.702308655
