"X","Y","H10_Portl (Depth)"
527580.01,2264461.01,166.042236328
527580.01,2264561.01,172.480499268
527580.01,2264661.01,174.107589722
527580.01,2264761.01,177.650238037
527580.01,2264861.01,180.873535156
527580.01,2264961.01,182.49836731
527580.01,2265061.01,185.740585327
527580.01,2265161.01,188.663833618
527580.01,2265261.01,190.267837524
527580.01,2265361.01,193.36390686
527580.01,2265461.01,197.007492065
527580.01,2265561.01,198.158035278
527580.01,2265661.01,199.644454956
527580.01,2265761.01,199.875640869
527580.01,2265861.01,199.875640869
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,144.504592896
527680.01,2261261.01,143.862365723
527680.01,2261361.01,144.543823242
527680.01,2261461.01,143.422683716
527680.01,2261561.01,141.360565186
527680.01,2261661.01,143.671386719
527680.01,2261761.01,144.151077271
527680.01,2261861.01,144.534255981
527680.01,2261961.01,146.673980713
527680.01,2262061.01,147.082824707
527680.01,2262161.01,147.842926025
527680.01,2262261.01,146.765258789
527680.01,2262361.01,146.439056396
527680.01,2262461.01,148.515609741
527680.01,2262561.01,149.351608276
527680.01,2262661.01,149.999649048
527680.01,2262761.01,152.027282715
527680.01,2262861.01,152.76184082
527680.01,2262961.01,152.252349854
527680.01,2263061.01,152.987792969
527680.01,2263161.01,154.862091064
527680.01,2263261.01,155.14553833
527680.01,2263361.01,153.949066162
527680.01,2263461.01,152.429367065
527680.01,2263561.01,151.162948608
527680.01,2263661.01,150.509109497
527680.01,2263761.01,150.656921387
527680.01,2263861.01,152.387054443
527680.01,2263961.01,153.820571899
527680.01,2264061.01,154.43170166
527680.01,2264161.01,155.584609985
527680.01,2264261.01,156.722259521
527680.01,2264361.01,159.009277344
527680.01,2264461.01,162.56338501
527680.01,2264561.01,164.866241455
527680.01,2264661.01,170.591201782
527680.01,2264761.01,174.743865967
527680.01,2264861.01,175.688812256
527680.01,2264961.01,179.827163696
527680.01,2265061.01,183.635696411
527680.01,2265161.01,184.120223999
527680.01,2265261.01,193.18649292
527680.01,2265361.01,196.732269287
527680.01,2265461.01,199.585678101
527680.01,2265561.01,199.585678101
527680.01,2265661.01,199.585678101
527680.01,2265761.01,165.117996216
527680.01,2265861.01,165.24861145
527680.01,2265961.01,171.557800293
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,147.495574951
527780.01,2261261.01,144.585601807
527780.01,2261361.01,144.749511719
527780.01,2261461.01,144.303207397
527780.01,2261561.01,142.973007202
527780.01,2261661.01,143.991256714
527780.01,2261761.01,145.137969971
527780.01,2261861.01,145.611984253
527780.01,2261961.01,144.956253052
527780.01,2262061.01,144.694976807
527780.01,2262161.01,146.012115479
527780.01,2262261.01,144.787322998
527780.01,2262361.01,143.327636719
527780.01,2262461.01,143.752410889
527780.01,2262561.01,145.944015503
527780.01,2262661.01,146.900878906
527780.01,2262761.01,148.71862793
527780.01,2262861.01,149.952575684
527780.01,2262961.01,147.793411255
527780.01,2263061.01,147.960998535
527780.01,2263161.01,149.749542236
527780.01,2263261.01,148.894546509
527780.01,2263361.01,148.356765747
527780.01,2263461.01,148.141845703
527780.01,2263561.01,148.290267944
527780.01,2263661.01,148.244842529
527780.01,2263761.01,149.066131592
527780.01,2263861.01,151.151565552
527780.01,2263961.01,152.589080811
527780.01,2264061.01,153.605758667
527780.01,2264161.01,154.802566528
527780.01,2264261.01,156.054794312
527780.01,2264361.01,157.991729736
527780.01,2264461.01,160.640441895
527780.01,2264561.01,161.677474976
527780.01,2264661.01,165.56451416
527780.01,2264761.01,170.428466797
527780.01,2264861.01,176.096160889
527780.01,2264961.01,174.092575073
527780.01,2265061.01,177.497634888
527780.01,2265161.01,189.862426758
527780.01,2265261.01,197.477981567
527780.01,2265361.01,198.996414185
527780.01,2265461.01,199.396469116
527780.01,2265561.01,172.408569336
527780.01,2265661.01,161.154296875
527780.01,2265761.01,164.285140991
527780.01,2265861.01,168.060623169
527780.01,2265961.01,170.720901489
527780.01,2266061.01,171.598007202
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,150.825027466
527880.01,2261261.01,147.800674438
527880.01,2261361.01,146.729492188
527880.01,2261461.01,145.320343018
527880.01,2261561.01,145.828170776
527880.01,2261661.01,145.39604187
527880.01,2261761.01,145.846038818
527880.01,2261861.01,145.555480957
527880.01,2261961.01,144.788421631
527880.01,2262061.01,144.406585693
527880.01,2262161.01,144.356582642
527880.01,2262261.01,142.406784058
527880.01,2262361.01,141.373794556
527880.01,2262461.01,141.369766235
527880.01,2262561.01,142.882797241
527880.01,2262661.01,143.238555908
527880.01,2262761.01,144.509017944
527880.01,2262861.01,145.159103394
527880.01,2262961.01,144.426361084
527880.01,2263061.01,145.278152466
527880.01,2263161.01,146.46534729
527880.01,2263261.01,146.356903076
527880.01,2263361.01,144.511154175
527880.01,2263461.01,145.448608398
527880.01,2263561.01,145.003753662
527880.01,2263661.01,146.02293396
527880.01,2263761.01,147.514419556
527880.01,2263861.01,148.403701782
527880.01,2263961.01,150.250244141
527880.01,2264061.01,151.837524414
527880.01,2264161.01,154.3828125
527880.01,2264261.01,155.631973267
527880.01,2264361.01,156.730880737
527880.01,2264461.01,158.884002686
527880.01,2264561.01,159.991592407
527880.01,2264661.01,157.712051392
527880.01,2264761.01,178.604293823
527880.01,2264861.01,162.145477295
527880.01,2264961.01,187.274749756
527880.01,2265061.01,191.7552948
527880.01,2265161.01,192.478897095
527880.01,2265261.01,193.753143311
527880.01,2265361.01,151.160629272
527880.01,2265461.01,151.386779785
527880.01,2265561.01,152.818145752
527880.01,2265661.01,154.573272705
527880.01,2265761.01,163.621017456
527880.01,2265861.01,171.092208862
527880.01,2265961.01,166.944488525
527880.01,2266061.01,168.485061646
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,168.122787476
527980.01,2261161.01,154.653045654
527980.01,2261261.01,146.94543457
527980.01,2261361.01,145.3253479
527980.01,2261461.01,145.3253479
527980.01,2261561.01,145.409072876
527980.01,2261661.01,144.865127563
527980.01,2261761.01,144.699172974
527980.01,2261861.01,146.597732544
527980.01,2261961.01,146.047836304
527980.01,2262061.01,143.875869751
527980.01,2262161.01,142.482910156
527980.01,2262261.01,140.52494812
527980.01,2262361.01,139.971435547
527980.01,2262461.01,138.915039063
527980.01,2262561.01,138.475326538
527980.01,2262661.01,138.389465332
527980.01,2262761.01,140.088790894
527980.01,2262861.01,141.53805542
527980.01,2262961.01,141.346435547
527980.01,2263061.01,141.988052368
527980.01,2263161.01,142.654281616
527980.01,2263261.01,142.908538818
527980.01,2263361.01,143.265090942
527980.01,2263461.01,143.53805542
527980.01,2263561.01,143.153793335
527980.01,2263661.01,144.331771851
527980.01,2263761.01,144.876159668
527980.01,2263861.01,145.386383057
527980.01,2263961.01,147.182281494
527980.01,2264061.01,149.007781982
527980.01,2264161.01,150.330551147
527980.01,2264261.01,153.308532715
527980.01,2264361.01,154.900482178
527980.01,2264461.01,156.703094482
527980.01,2264561.01,154.978149414
527980.01,2264661.01,152.130462646
527980.01,2264761.01,146.866958618
527980.01,2264861.01,180.694473267
527980.01,2264961.01,185.816940308
527980.01,2265061.01,144.86819458
527980.01,2265161.01,145.445953369
527980.01,2265261.01,148.661758423
527980.01,2265361.01,150.655151367
527980.01,2265461.01,150.460830688
527980.01,2265561.01,151.632385254
527980.01,2265661.01,172.408569336
527980.01,2265761.01,170.905807495
527980.01,2265861.01,163.014602661
527980.01,2265961.01,164.639297485
527980.01,2266061.01,166.697631836
527980.01,2266161.01,169.082168579
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,173.0884552
528080.01,2261161.01,172.318023682
528080.01,2261261.01,184.7003479
528080.01,2261361.01,192.517578125
528080.01,2261461.01,154.120300293
528080.01,2261561.01,145.3253479
528080.01,2261661.01,144.579467773
528080.01,2261761.01,141.823928833
528080.01,2261861.01,141.811309814
528080.01,2261961.01,139.900115967
528080.01,2262061.01,140.546829224
528080.01,2262161.01,138.048126221
528080.01,2262261.01,136.895614624
528080.01,2262361.01,137.192596436
528080.01,2262461.01,137.336242676
528080.01,2262561.01,136.109176636
528080.01,2262661.01,136.318191528
528080.01,2262761.01,137.520935059
528080.01,2262861.01,137.377670288
528080.01,2262961.01,139.050033569
528080.01,2263061.01,139.54498291
528080.01,2263161.01,140.397018433
528080.01,2263261.01,140.103042603
528080.01,2263361.01,141.430969238
528080.01,2263461.01,142.01914978
528080.01,2263561.01,142.318267822
528080.01,2263661.01,142.835357666
528080.01,2263761.01,143.174667358
528080.01,2263861.01,143.265029907
528080.01,2263961.01,144.491149902
528080.01,2264061.01,146.90725708
528080.01,2264161.01,148.455551147
528080.01,2264261.01,150.990447998
528080.01,2264361.01,153.077560425
528080.01,2264461.01,153.388031006
528080.01,2264561.01,148.311889648
528080.01,2264661.01,162.037689209
528080.01,2264761.01,142.896682739
528080.01,2264861.01,142.896682739
528080.01,2264961.01,142.896682739
528080.01,2265061.01,144.619644165
528080.01,2265161.01,147.389694214
528080.01,2265261.01,148.660446167
528080.01,2265361.01,152.024353027
528080.01,2265461.01,149.903900146
528080.01,2265561.01,149.011932373
528080.01,2265661.01,168.990081787
528080.01,2265761.01,167.203170776
528080.01,2265861.01,161.571640015
528080.01,2265961.01,164.786712646
528080.01,2266061.01,166.2449646
528080.01,2266161.01,168.900222778
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,178.381195068
528180.01,2261161.01,177.18598938
528180.01,2261261.01,179.259490967
528180.01,2261361.01,190.230407715
528180.01,2261461.01,196.998062134
528180.01,2261561.01,196.998062134
528180.01,2261661.01,191.243988037
528180.01,2261761.01,142.187774658
528180.01,2261861.01,139.034255981
528180.01,2261961.01,136.935134888
528180.01,2262061.01,135.725509644
528180.01,2262161.01,135.878494263
528180.01,2262261.01,135.644058228
528180.01,2262361.01,135.089309692
528180.01,2262461.01,134.278015137
528180.01,2262561.01,133.500839233
528180.01,2262661.01,134.417510986
528180.01,2262761.01,135.14352417
528180.01,2262861.01,135.064361572
528180.01,2262961.01,136.809448242
528180.01,2263061.01,137.682785034
528180.01,2263161.01,137.564498901
528180.01,2263261.01,136.080184937
528180.01,2263361.01,138.164581299
528180.01,2263461.01,139.638214111
528180.01,2263561.01,139.784484863
528180.01,2263661.01,140.892883301
528180.01,2263761.01,140.699981689
528180.01,2263861.01,140.744567871
528180.01,2263961.01,143.730148315
528180.01,2264061.01,146.454345703
528180.01,2264161.01,148.395065308
528180.01,2264261.01,149.101715088
528180.01,2264361.01,150.738311768
528180.01,2264461.01,149.630813599
528180.01,2264561.01,145.145111084
528180.01,2264661.01,142.896682739
528180.01,2264761.01,143.110351563
528180.01,2264861.01,143.63684082
528180.01,2264961.01,145.335205078
528180.01,2265061.01,145.749572754
528180.01,2265161.01,150.122680664
528180.01,2265261.01,153.430404663
528180.01,2265361.01,156.251251221
528180.01,2265461.01,149.196075439
528180.01,2265561.01,147.391204834
528180.01,2265661.01,166.519729614
528180.01,2265761.01,166.712799072
528180.01,2265861.01,159.533462524
528180.01,2265961.01,161.842102051
528180.01,2266061.01,163.304397583
528180.01,2266161.01,167.411880493
528180.01,2266261.01,167.070724487
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,185.389175415
528280.01,2261061.01,181.172912598
528280.01,2261161.01,181.064361572
528280.01,2261261.01,184.084228516
528280.01,2261361.01,188.554504395
528280.01,2261461.01,193.027008057
528280.01,2261561.01,194.881454468
528280.01,2261661.01,200.675704956
528280.01,2261761.01,203.508148193
528280.01,2261861.01,204.614868164
528280.01,2261961.01,158.943634033
528280.01,2262061.01,135.863372803
528280.01,2262161.01,134.687133789
528280.01,2262261.01,134.166549683
528280.01,2262361.01,133.676712036
528280.01,2262461.01,133.782333374
528280.01,2262561.01,133.728302002
528280.01,2262661.01,133.578781128
528280.01,2262761.01,134.587265015
528280.01,2262861.01,134.439071655
528280.01,2262961.01,135.075576782
528280.01,2263061.01,135.36340332
528280.01,2263161.01,134.093383789
528280.01,2263261.01,133.372421265
528280.01,2263361.01,135.01260376
528280.01,2263461.01,135.526397705
528280.01,2263561.01,137.121276855
528280.01,2263661.01,136.820129395
528280.01,2263761.01,136.444229126
528280.01,2263861.01,138.125274658
528280.01,2263961.01,139.921859741
528280.01,2264061.01,142.153030396
528280.01,2264161.01,141.697525024
528280.01,2264261.01,142.438430786
528280.01,2264361.01,144.115249634
528280.01,2264461.01,144.311553955
528280.01,2264561.01,144.855636597
528280.01,2264661.01,143.143005371
528280.01,2264761.01,143.051116943
528280.01,2264861.01,143.324020386
528280.01,2264961.01,145.917907715
528280.01,2265061.01,147.114761353
528280.01,2265161.01,148.981246948
528280.01,2265261.01,149.924331665
528280.01,2265361.01,150.106216431
528280.01,2265461.01,148.041824341
528280.01,2265561.01,146.32774353
528280.01,2265661.01,164.44392395
528280.01,2265761.01,164.133804321
528280.01,2265861.01,160.874511719
528280.01,2265961.01,160.628723145
528280.01,2266061.01,162.340545654
528280.01,2266161.01,165.150787354
528280.01,2266261.01,164.908325195
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,184.606460571
528380.01,2260961.01,184.595199585
528380.01,2261061.01,182.028182983
528380.01,2261161.01,182.599456787
528380.01,2261261.01,184.774795532
528380.01,2261361.01,187.260131836
528380.01,2261461.01,190.825042725
528380.01,2261561.01,193.621429443
528380.01,2261661.01,198.218841553
528380.01,2261761.01,202.319702148
528380.01,2261861.01,205.513748169
528380.01,2261961.01,207.224075317
528380.01,2262061.01,207.224075317
528380.01,2262161.01,207.224075317
528380.01,2262261.01,171.339569092
528380.01,2262361.01,133.676712036
528380.01,2262461.01,133.676712036
528380.01,2262561.01,133.676712036
528380.01,2262661.01,133.676712036
528380.01,2262761.01,133.168258667
528380.01,2262861.01,132.708389282
528380.01,2262961.01,132.617202759
528380.01,2263061.01,133.074798584
528380.01,2263161.01,131.086669922
528380.01,2263261.01,131.230041504
528380.01,2263361.01,131.855392456
528380.01,2263461.01,131.453598022
528380.01,2263561.01,133.113510132
528380.01,2263661.01,133.853775024
528380.01,2263761.01,133.514816284
528380.01,2263861.01,134.820571899
528380.01,2263961.01,136.100799561
528380.01,2264061.01,135.314285278
528380.01,2264161.01,138.150405884
528380.01,2264261.01,139.37890625
528380.01,2264361.01,139.63117981
528380.01,2264461.01,140.008392334
528380.01,2264561.01,141.391738892
528380.01,2264661.01,142.225860596
528380.01,2264761.01,142.464492798
528380.01,2264861.01,144.084487915
528380.01,2264961.01,145.43977356
528380.01,2265061.01,146.440979004
528380.01,2265161.01,147.753082275
528380.01,2265261.01,148.674285889
528380.01,2265361.01,148.368209839
528380.01,2265461.01,146.472183228
528380.01,2265561.01,145.599655151
528380.01,2265661.01,161.293411255
528380.01,2265761.01,161.986572266
