"X","Y","H00_Ground Level (Depth)"
527280.01,2264161.01,-102.760215759
527280.01,2264261.01,-106.344657898
527280.01,2264361.01,-109.473953247
527280.01,2264461.01,-110.763046265
527280.01,2264561.01,-109.98223114
527280.01,2264661.01,-107.107009888
527280.01,2264761.01,-99.816673279
527280.01,2264861.01,-99.823455811
527280.01,2264961.01,-101.94317627
527280.01,2265061.01,-103.783691406
527280.01,2265161.01,-105.56502533
527280.01,2265261.01,-106.003387451
527280.01,2265361.01,-105.982795715
527280.01,2265461.01,-107.947052002
527280.01,2265561.01,-109.108207703
527280.01,2265661.01,-111.141609192
527280.01,2265761.01,-112.151275635
527280.01,2265861.01,-113.040214539
527380.01,2261161.01,-105.073127747
527380.01,2261261.01,-105.423492432
527380.01,2261361.01,-105.490936279
527380.01,2261461.01,-104.980751038
527380.01,2261561.01,-104.884353638
527380.01,2261661.01,-107.451499939
527380.01,2261761.01,-109.578575134
527380.01,2261861.01,-111.723052979
527380.01,2261961.01,-113.051300049
527380.01,2262061.01,-112.09161377
527380.01,2262161.01,-110.976463318
527380.01,2262261.01,-111.334465027
527380.01,2262361.01,-111.379707336
527380.01,2262461.01,-111.182762146
527380.01,2262561.01,-113.391998291
527380.01,2262661.01,-115.001266479
527380.01,2262761.01,-115.086296082
527380.01,2262861.01,-114.778213501
527380.01,2262961.01,-114.961242676
527380.01,2263061.01,-114.483131409
527380.01,2263161.01,-113.054168701
527380.01,2263261.01,-112.791091919
527380.01,2263361.01,-111.582199097
527380.01,2263461.01,-110.77935791
527380.01,2263561.01,-110.694839478
527380.01,2263661.01,-108.190734863
527380.01,2263761.01,-105.532241821
527380.01,2263861.01,-104.346603394
527380.01,2263961.01,-101.215377808
527380.01,2264061.01,-100.451652527
527380.01,2264161.01,-105.000816345
527380.01,2264261.01,-109.201271057
527380.01,2264361.01,-110.653701782
527380.01,2264461.01,-111.341758728
527380.01,2264561.01,-111.740180969
527380.01,2264661.01,-108.292671204
527380.01,2264761.01,-103.174308777
527380.01,2264861.01,-102.035903931
527380.01,2264961.01,-101.555221558
527380.01,2265061.01,-102.032432556
527380.01,2265161.01,-104.378562927
527380.01,2265261.01,-105.934165955
527380.01,2265361.01,-105.082359314
527380.01,2265461.01,-105.677459717
527380.01,2265561.01,-106.730941772
527380.01,2265661.01,-108.920646667
527380.01,2265761.01,-110.251777649
527380.01,2265861.01,-111.354408264
527380.01,2265961.01,-112.388389587
527480.01,2261161.01,-103.444496155
527480.01,2261261.01,-104.674026489
527480.01,2261361.01,-104.624969482
527480.01,2261461.01,-103.876525879
527480.01,2261561.01,-103.844749451
527480.01,2261661.01,-105.866798401
527480.01,2261761.01,-108.149635315
527480.01,2261861.01,-111.025123596
527480.01,2261961.01,-112.703636169
527480.01,2262061.01,-113.29851532
527480.01,2262161.01,-112.204284668
527480.01,2262261.01,-111.918067932
527480.01,2262361.01,-112.064941406
527480.01,2262461.01,-111.122894287
527480.01,2262561.01,-112.972763062
527480.01,2262661.01,-114.863876343
527480.01,2262761.01,-114.98449707
527480.01,2262861.01,-114.942092896
527480.01,2262961.01,-115.113204956
527480.01,2263061.01,-114.574745178
527480.01,2263161.01,-113.471458435
527480.01,2263261.01,-113.586929321
527480.01,2263361.01,-112.450630188
527480.01,2263461.01,-110.943695068
527480.01,2263561.01,-111.029335022
527480.01,2263661.01,-109.127334595
527480.01,2263761.01,-106.844436646
527480.01,2263861.01,-104.661231995
527480.01,2263961.01,-99.848655701
527480.01,2264061.01,-101.533531189
527480.01,2264161.01,-107.582870483
527480.01,2264261.01,-111.930206299
527480.01,2264361.01,-113.474731445
527480.01,2264461.01,-112.937011719
527480.01,2264561.01,-111.996627808
527480.01,2264661.01,-109.864433289
527480.01,2264761.01,-107.249130249
527480.01,2264861.01,-107.625350952
527480.01,2264961.01,-106.911315918
527480.01,2265061.01,-104.512809753
527480.01,2265161.01,-105.968093872
527480.01,2265261.01,-109.422271729
527480.01,2265361.01,-111.063064575
527480.01,2265461.01,-108.503189087
527480.01,2265561.01,-107.410758972
527480.01,2265661.01,-108.821075439
527480.01,2265761.01,-109.975837708
527480.01,2265861.01,-110.97177887
527480.01,2265961.01,-111.68170166
527580.01,2261161.01,-102.236038208
527580.01,2261261.01,-103.72795105
527580.01,2261361.01,-103.765769958
527580.01,2261461.01,-103.146690369
527580.01,2261561.01,-102.653129578
527580.01,2261661.01,-103.966163635
527580.01,2261761.01,-106.492530823
527580.01,2261861.01,-109.738807678
527580.01,2261961.01,-111.414108276
527580.01,2262061.01,-112.337371826
527580.01,2262161.01,-112.974433899
527580.01,2262261.01,-112.664108276
527580.01,2262361.01,-112.112632751
527580.01,2262461.01,-112.073532104
527580.01,2262561.01,-113.622772217
527580.01,2262661.01,-114.521446228
527580.01,2262761.01,-115.444458008
527580.01,2262861.01,-115.029563904
527580.01,2262961.01,-114.973968506
527580.01,2263061.01,-114.299255371
527580.01,2263161.01,-113.72077179
527580.01,2263261.01,-114.335151672
527580.01,2263361.01,-113.643409729
527580.01,2263461.01,-111.516479492
527580.01,2263561.01,-110.624458313
527580.01,2263661.01,-110.123161316
527580.01,2263761.01,-108.189201355
527580.01,2263861.01,-104.796295166
527580.01,2263961.01,-101.021057129
527580.01,2264061.01,-101.575843811
527580.01,2264161.01,-107.022079468
527580.01,2264261.01,-112.499839783
527580.01,2264361.01,-115.43019104
527580.01,2264461.01,-114.886550903
527580.01,2264561.01,-112.645248413
527580.01,2264661.01,-112.178070068
527580.01,2264761.01,-111.523132324
527580.01,2264861.01,-112.423858643
527580.01,2264961.01,-112.904418945
527580.01,2265061.01,-108.73299408
527580.01,2265161.01,-108.575523376
527580.01,2265261.01,-111.230369568
527580.01,2265361.01,-112.219589233
527580.01,2265461.01,-112.186737061
527580.01,2265561.01,-113.059326172
527580.01,2265661.01,-112.350273132
527580.01,2265761.01,-111.641082764
527580.01,2265861.01,-112.111930847
527580.01,2265961.01,-112.010787964
527580.01,2266061.01,-113.862831116
527680.01,2261061.01,-101.448150635
527680.01,2261161.01,-101.69744873
527680.01,2261261.01,-102.440879822
527680.01,2261361.01,-102.243873596
527680.01,2261461.01,-102.497817993
527680.01,2261561.01,-102.494590759
527680.01,2261661.01,-103.289169312
527680.01,2261761.01,-105.892845154
527680.01,2261861.01,-108.685798645
527680.01,2261961.01,-109.621711731
527680.01,2262061.01,-110.736366272
527680.01,2262161.01,-112.34715271
527680.01,2262261.01,-113.049499512
527680.01,2262361.01,-113.144012451
527680.01,2262461.01,-113.127532959
527680.01,2262561.01,-113.494728088
527680.01,2262661.01,-113.489936829
527680.01,2262761.01,-115.356552124
527680.01,2262861.01,-115.118118286
527680.01,2262961.01,-114.646369934
527680.01,2263061.01,-114.129188538
527680.01,2263161.01,-113.861709595
527680.01,2263261.01,-114.667564392
527680.01,2263361.01,-114.059814453
527680.01,2263461.01,-112.117340088
527680.01,2263561.01,-109.803718567
527680.01,2263661.01,-109.585487366
527680.01,2263761.01,-108.056541443
527680.01,2263861.01,-104.586051941
527680.01,2263961.01,-101.453170776
527680.01,2264061.01,-100.948242188
527680.01,2264161.01,-105.897201538
527680.01,2264261.01,-111.900985718
527680.01,2264361.01,-115.448684692
527680.01,2264461.01,-115.857559204
527680.01,2264561.01,-114.3618927
527680.01,2264661.01,-114.562767029
527680.01,2264761.01,-114.334472656
527680.01,2264861.01,-114.497001648
527680.01,2264961.01,-114.007896423
527680.01,2265061.01,-111.371116638
527680.01,2265161.01,-110.82989502
527680.01,2265261.01,-111.750953674
527680.01,2265361.01,-111.806358337
527680.01,2265461.01,-114.035316467
527680.01,2265561.01,-116.780555725
527680.01,2265661.01,-115.663253784
527680.01,2265761.01,-114.034866333
527680.01,2265861.01,-113.899475098
