"X","Y","H04_Cenom (Depth)"
527280.01,2264261.01,73.493049622
527280.01,2264361.01,71.947296143
527280.01,2264461.01,66.416107178
527280.01,2264561.01,68.817474365
527280.01,2264661.01,71.909370422
527280.01,2264761.01,74.878578186
527280.01,2264861.01,77.124732971
527280.01,2264961.01,77.688514709
527280.01,2265061.01,78.928695679
527280.01,2265161.01,79.32661438
527280.01,2265261.01,78.509223938
527280.01,2265361.01,77.409355164
527280.01,2265461.01,75.769538879
527280.01,2265561.01,74.515533447
527280.01,2265661.01,73.579216003
527280.01,2265761.01,72.961463928
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,26.02363205
527380.01,2261361.01,25.454929352
527380.01,2261461.01,25.447116852
527380.01,2261561.01,26.338653564
527380.01,2261661.01,32.247829437
527380.01,2261761.01,36.016811371
527380.01,2261861.01,42.05846405
527380.01,2261961.01,42.192657471
527380.01,2262061.01,42.1967659
527380.01,2262161.01,41.754737854
527380.01,2262261.01,42.546066284
527380.01,2262361.01,43.271327972
527380.01,2262461.01,42.960109711
527380.01,2262561.01,43.589790344
527380.01,2262661.01,45.927661896
527380.01,2262761.01,46.939769745
527380.01,2262861.01,49.517520905
527380.01,2262961.01,51.539012909
527380.01,2263061.01,51.658027649
527380.01,2263161.01,53.498786926
527380.01,2263261.01,53.188270569
527380.01,2263361.01,48.534633636
527380.01,2263461.01,47.073791504
527380.01,2263561.01,44.056816101
527380.01,2263661.01,42.199714661
527380.01,2263761.01,42.375190735
527380.01,2263861.01,41.614875793
527380.01,2263961.01,41.290328979
527380.01,2264061.01,41.409881592
527380.01,2264161.01,42.101509094
527380.01,2264261.01,46.572338104
527380.01,2264361.01,59.744472504
527380.01,2264461.01,63.349006653
527380.01,2264561.01,69.076011658
527380.01,2264661.01,71.272972107
527380.01,2264761.01,73.104980469
527380.01,2264861.01,75.393859863
527380.01,2264961.01,76.000366211
527380.01,2265061.01,77.671707153
527380.01,2265161.01,78.450576782
527380.01,2265261.01,77.757049561
527380.01,2265361.01,75.69506073
527380.01,2265461.01,73.37663269
527380.01,2265561.01,71.892082214
527380.01,2265661.01,70.890670776
527380.01,2265761.01,70.283546448
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,26.693967819
527480.01,2261361.01,26.070949554
527480.01,2261461.01,25.948194504
527480.01,2261561.01,25.975198746
527480.01,2261661.01,30.031665802
527480.01,2261761.01,33.041675568
527480.01,2261861.01,36.311584473
527480.01,2261961.01,36.47600174
527480.01,2262061.01,35.077297211
527480.01,2262161.01,35.76638031
527480.01,2262261.01,36.344833374
527480.01,2262361.01,37.866901398
527480.01,2262461.01,38.636383057
527480.01,2262561.01,40.826007843
527480.01,2262661.01,43.184299469
527480.01,2262761.01,44.234542847
527480.01,2262861.01,46.488800049
527480.01,2262961.01,47.555957794
527480.01,2263061.01,48.599765778
527480.01,2263161.01,48.824234009
527480.01,2263261.01,47.50504303
527480.01,2263361.01,45.220638275
527480.01,2263461.01,43.219722748
527480.01,2263561.01,42.071174622
527480.01,2263661.01,41.808433533
527480.01,2263761.01,41.594676971
527480.01,2263861.01,41.264690399
527480.01,2263961.01,41.734176636
527480.01,2264061.01,42.666309357
527480.01,2264161.01,43.769023895
527480.01,2264261.01,51.935359955
527480.01,2264361.01,54.214336395
527480.01,2264461.01,59.144031525
527480.01,2264561.01,65.419570923
527480.01,2264661.01,67.813468933
527480.01,2264761.01,70.981208801
527480.01,2264861.01,73.908210754
527480.01,2264961.01,74.351509094
527480.01,2265061.01,76.078315735
527480.01,2265161.01,77.785598755
527480.01,2265261.01,77.316390991
527480.01,2265361.01,74.89414978
527480.01,2265461.01,71.892028809
527480.01,2265561.01,67.615936279
527480.01,2265661.01,67.227592468
527480.01,2265761.01,68.926513672
527480.01,2265861.01,68.81187439
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,27.29017067
527580.01,2261361.01,26.851774216
527580.01,2261461.01,25.482610703
527580.01,2261561.01,24.238134384
527580.01,2261661.01,27.511804581
527580.01,2261761.01,30.021595001
527580.01,2261861.01,32.269790649
527580.01,2261961.01,32.887454987
527580.01,2262061.01,32.652423859
527580.01,2262161.01,31.32891655
527580.01,2262261.01,30.192873001
527580.01,2262361.01,30.645484924
527580.01,2262461.01,33.277030945
527580.01,2262561.01,35.960704803
527580.01,2262661.01,39.352088928
527580.01,2262761.01,40.220386505
527580.01,2262861.01,41.830345154
527580.01,2262961.01,44.427955627
527580.01,2263061.01,45.388664246
527580.01,2263161.01,46.225193024
527580.01,2263261.01,45.38236618
527580.01,2263361.01,42.530101776
527580.01,2263461.01,40.655357361
527580.01,2263561.01,38.744308472
527580.01,2263661.01,37.303623199
527580.01,2263761.01,38.290107727
527580.01,2263861.01,39.576351166
527580.01,2263961.01,40.628921509
527580.01,2264061.01,43.498672485
527580.01,2264161.01,46.113807678
527580.01,2264261.01,46.883178711
527580.01,2264361.01,50.575817108
527580.01,2264461.01,54.972332001
527580.01,2264561.01,61.189903259
527580.01,2264661.01,63.16078949
527580.01,2264761.01,67.904457092
527580.01,2264861.01,71.411323547
527580.01,2264961.01,72.027656555
527580.01,2265061.01,74.957458496
527580.01,2265161.01,76.938484192
527580.01,2265261.01,76.099494934
527580.01,2265361.01,72.13067627
527580.01,2265461.01,67.640258789
527580.01,2265561.01,69.08870697
527580.01,2265661.01,69.292198181
527580.01,2265761.01,68.822059631
527580.01,2265861.01,68.691520691
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,26.833257675
527680.01,2261261.01,26.423597336
527680.01,2261361.01,25.212751389
527680.01,2261461.01,23.535299301
527680.01,2261561.01,21.921344757
527680.01,2261661.01,24.756448746
527680.01,2261761.01,26.720661163
527680.01,2261861.01,28.717447281
527680.01,2261961.01,29.458705902
527680.01,2262061.01,29.315282822
527680.01,2262161.01,28.779375076
527680.01,2262261.01,27.150262833
527680.01,2262361.01,27.001173019
527680.01,2262461.01,29.35373497
527680.01,2262561.01,30.890041351
527680.01,2262661.01,31.710859299
527680.01,2262761.01,34.808769226
527680.01,2262861.01,36.40581131
527680.01,2262961.01,36.352401733
527680.01,2263061.01,39.061393738
527680.01,2263161.01,41.080039978
527680.01,2263261.01,41.166870117
527680.01,2263361.01,40.433208466
527680.01,2263461.01,38.818599701
527680.01,2263561.01,36.109176636
527680.01,2263661.01,34.251079559
527680.01,2263761.01,35.723880768
527680.01,2263861.01,37.228794098
527680.01,2263961.01,38.516704559
527680.01,2264061.01,40.367313385
527680.01,2264161.01,43.222145081
527680.01,2264261.01,44.601329803
527680.01,2264361.01,47.248771667
527680.01,2264461.01,51.036823273
527680.01,2264561.01,53.291584015
527680.01,2264661.01,58.078350067
527680.01,2264761.01,63.72505188
527680.01,2264861.01,65.209083557
527680.01,2264961.01,69.919059753
527680.01,2265061.01,74.149963379
527680.01,2265161.01,75.659675598
527680.01,2265261.01,75.547279358
527680.01,2265361.01,74.477859497
527680.01,2265461.01,71.879112244
527680.01,2265561.01,73.125442505
527680.01,2265661.01,71.359672546
527680.01,2265761.01,69.686187744
527680.01,2265861.01,44.890144348
527680.01,2265961.01,46.954921722
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,27.111053467
527780.01,2261261.01,26.300470352
527780.01,2261361.01,25.748416901
527780.01,2261461.01,23.674005508
527780.01,2261561.01,22.219797134
527780.01,2261661.01,22.703727722
527780.01,2261761.01,27.074567795
527780.01,2261861.01,28.107685089
527780.01,2261961.01,26.652235031
527780.01,2262061.01,24.933017731
527780.01,2262161.01,23.947380066
527780.01,2262261.01,23.882247925
527780.01,2262361.01,23.06205368
527780.01,2262461.01,23.746538162
527780.01,2262561.01,26.86738205
527780.01,2262661.01,27.68504715
527780.01,2262761.01,30.200342178
527780.01,2262861.01,32.307071686
527780.01,2262961.01,29.619537354
527780.01,2263061.01,31.029342651
527780.01,2263161.01,33.448116302
527780.01,2263261.01,32.761978149
527780.01,2263361.01,33.303470612
527780.01,2263461.01,32.266521454
527780.01,2263561.01,31.700042725
527780.01,2263661.01,30.91979599
527780.01,2263761.01,32.084625244
527780.01,2263861.01,34.772361755
527780.01,2263961.01,35.150852203
527780.01,2264061.01,36.569625854
527780.01,2264161.01,40.796726227
527780.01,2264261.01,43.307300568
527780.01,2264361.01,44.602729797
527780.01,2264461.01,46.768623352
527780.01,2264561.01,48.017627716
527780.01,2264661.01,50.47322464
527780.01,2264761.01,56.0638237
527780.01,2264861.01,59.092182159
527780.01,2264961.01,66.629356384
527780.01,2265061.01,74.043434143
527780.01,2265161.01,75.159599304
527780.01,2265261.01,75.571243286
527780.01,2265361.01,75.33556366
527780.01,2265461.01,74.495094299
527780.01,2265561.01,36.63822937
527780.01,2265661.01,37.049659729
527780.01,2265761.01,37.993141174
527780.01,2265861.01,45.849945068
527780.01,2265961.01,50.1173172
527780.01,2266061.01,51.86762619
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,28.797718048
527880.01,2261261.01,25.565395355
527880.01,2261361.01,23.666877747
527880.01,2261461.01,22.272256851
527880.01,2261561.01,22.437065125
527880.01,2261661.01,23.629831314
527880.01,2261761.01,25.339035034
527880.01,2261861.01,28.367349625
527880.01,2261961.01,26.723585129
527880.01,2262061.01,24.116996765
527880.01,2262161.01,22.39805603
527880.01,2262261.01,21.582414627
527880.01,2262361.01,20.592161179
527880.01,2262461.01,20.249673843
527880.01,2262561.01,21.879692078
527880.01,2262661.01,22.0546875
527880.01,2262761.01,23.886693954
527880.01,2262861.01,25.762443542
527880.01,2262961.01,25.367538452
527880.01,2263061.01,26.586421967
527880.01,2263161.01,28.96282196
527880.01,2263261.01,28.285024643
527880.01,2263361.01,26.263938904
527880.01,2263461.01,26.369525909
527880.01,2263561.01,24.905914307
527880.01,2263661.01,26.561576843
527880.01,2263761.01,28.413282394
527880.01,2263861.01,28.252292633
527880.01,2263961.01,30.679428101
527880.01,2264061.01,34.877513885
527880.01,2264161.01,39.751476288
527880.01,2264261.01,41.994247437
527880.01,2264361.01,43.060195923
527880.01,2264461.01,44.471599579
527880.01,2264561.01,44.917835236
527880.01,2264661.01,45.900257111
527880.01,2264761.01,44.110034943
527880.01,2264861.01,49.129867554
527880.01,2264961.01,71.248535156
527880.01,2265061.01,75.527023315
527880.01,2265161.01,75.527023315
527880.01,2265261.01,75.527023315
527880.01,2265361.01,61.024261475
527880.01,2265461.01,36.121829987
527880.01,2265561.01,36.607398987
527880.01,2265661.01,36.779651642
527880.01,2265761.01,41.019248962
527880.01,2265861.01,45.755931854
527880.01,2265961.01,50.47309494
527880.01,2266061.01,50.214363098
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,32.550518036
527980.01,2261161.01,32.088741302
527980.01,2261261.01,29.482130051
527980.01,2261361.01,26.621782303
527980.01,2261461.01,45.671470642
527980.01,2261561.01,22.272256851
527980.01,2261661.01,22.272256851
527980.01,2261761.01,22.505180359
527980.01,2261861.01,23.220397949
527980.01,2261961.01,22.187225342
527980.01,2262061.01,25.560354233
527980.01,2262161.01,21.275257111
527980.01,2262261.01,20.069839478
527980.01,2262361.01,18.905586243
527980.01,2262461.01,16.898763657
527980.01,2262561.01,17.788537979
527980.01,2262661.01,17.932203293
527980.01,2262761.01,19.569232941
527980.01,2262861.01,20.612579346
527980.01,2262961.01,21.135204315
527980.01,2263061.01,22.997066498
527980.01,2263161.01,24.034223557
527980.01,2263261.01,23.443847656
527980.01,2263361.01,24.117830276
527980.01,2263461.01,24.375570297
527980.01,2263561.01,22.940467834
527980.01,2263661.01,23.009191513
527980.01,2263761.01,25.832099915
527980.01,2263861.01,27.134820938
527980.01,2263961.01,30.589975357
527980.01,2264061.01,33.574932098
527980.01,2264161.01,35.262626648
527980.01,2264261.01,38.630802155
527980.01,2264361.01,39.991355896
527980.01,2264461.01,42.854572296
527980.01,2264561.01,43.729419708
527980.01,2264661.01,40.207584381
527980.01,2264761.01,35.555198669
527980.01,2264861.01,71.260871887
527980.01,2264961.01,75.527023315
527980.01,2265061.01,53.845336914
527980.01,2265161.01,28.773178101
527980.01,2265261.01,30.035058975
527980.01,2265361.01,34.725505829
527980.01,2265461.01,35.955635071
527980.01,2265561.01,38.27551651
527980.01,2265661.01,40.125572205
527980.01,2265761.01,43.695232391
527980.01,2265861.01,47.301132202
527980.01,2265961.01,49.062740326
527980.01,2266061.01,48.613037109
527980.01,2266161.01,-9999
527980.01,2266261.01,-9999
528080.01,2260961.01,36.441947937
528080.01,2261061.01,34.761791229
528080.01,2261161.01,34.625068665
528080.01,2261261.01,35.320831299
528080.01,2261361.01,32.843902588
528080.01,2261461.01,22.272256851
528080.01,2261561.01,87.593940735
528080.01,2261661.01,68.871604919
528080.01,2261761.01,23.168804169
528080.01,2261861.01,20.990430832
528080.01,2261961.01,19.671825409
528080.01,2262061.01,18.365636826
528080.01,2262161.01,18.477243423
528080.01,2262261.01,17.68853569
528080.01,2262361.01,17.466413498
528080.01,2262461.01,16.033462524
528080.01,2262561.01,15.331167221
528080.01,2262661.01,15.622672081
528080.01,2262761.01,17.231895447
528080.01,2262861.01,15.843937874
528080.01,2262961.01,17.514799118
528080.01,2263061.01,19.625520706
528080.01,2263161.01,19.706615448
528080.01,2263261.01,19.033685684
528080.01,2263361.01,19.25570488
528080.01,2263461.01,20.721025467
528080.01,2263561.01,20.821779251
528080.01,2263661.01,20.785888672
528080.01,2263761.01,23.756523132
528080.01,2263861.01,25.579517365
528080.01,2263961.01,28.863042831
528080.01,2264061.01,31.021060944
528080.01,2264161.01,31.354194641
528080.01,2264261.01,33.628547668
528080.01,2264361.01,36.857959747
528080.01,2264461.01,38.096576691
