"X","Y","H60_Charm (Depth)"
527480.01,2265761.01,960.145751953
527480.01,2265861.01,963.587158203
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,956.769958496
527580.01,2261361.01,960.25994873
527580.01,2261461.01,961.293518066
527580.01,2261561.01,965.349609375
527580.01,2261661.01,967.170959473
527580.01,2261761.01,966.096313477
527580.01,2261861.01,966.027282715
527580.01,2261961.01,965.814758301
527580.01,2262061.01,965.399780273
527580.01,2262161.01,962.803161621
527580.01,2262261.01,965.134338379
527580.01,2262361.01,965.796142578
527580.01,2262461.01,968.118164063
527580.01,2262561.01,971.104248047
527580.01,2262661.01,972.482421875
527580.01,2262761.01,974.379089355
527580.01,2262861.01,974.379089355
527580.01,2262961.01,974.379089355
527580.01,2263061.01,974.379089355
527580.01,2263161.01,921.079589844
527580.01,2263261.01,913.031005859
527580.01,2263361.01,915.707885742
527580.01,2263461.01,917.32611084
527580.01,2263561.01,919.702331543
527580.01,2263661.01,920.77557373
527580.01,2263761.01,922.174560547
527580.01,2263861.01,924.119995117
527580.01,2263961.01,924.702026367
527580.01,2264061.01,925.842102051
527580.01,2264161.01,928.876708984
527580.01,2264261.01,930.297119141
527580.01,2264361.01,936.41595459
527580.01,2264461.01,949.70135498
527580.01,2264561.01,954.446350098
527580.01,2264661.01,949.335998535
527580.01,2264761.01,950.315734863
527580.01,2264861.01,992.156677246
527580.01,2264961.01,992.193237305
527580.01,2265061.01,993.879577637
527580.01,2265161.01,995.941772461
527580.01,2265261.01,954.333984375
527580.01,2265361.01,954.333984375
527580.01,2265461.01,967.647827148
527580.01,2265561.01,967.647827148
527580.01,2265661.01,967.648681641
527580.01,2265761.01,960.69708252
527580.01,2265861.01,963.179748535
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,950.494750977
527680.01,2261261.01,952.987243652
527680.01,2261361.01,954.042053223
527680.01,2261461.01,956.015808105
527680.01,2261561.01,960.347290039
527680.01,2261661.01,962.672973633
527680.01,2261761.01,962.273681641
527680.01,2261861.01,964.507324219
527680.01,2261961.01,963.397216797
527680.01,2262061.01,960.064025879
527680.01,2262161.01,960.187011719
527680.01,2262261.01,961.879760742
527680.01,2262361.01,962.933227539
527680.01,2262461.01,965.835571289
527680.01,2262561.01,964.948608398
527680.01,2262661.01,970.370727539
527680.01,2262761.01,972.36126709
527680.01,2262861.01,973.896118164
527680.01,2262961.01,974.200622559
527680.01,2263061.01,974.387756348
527680.01,2263161.01,974.379089355
527680.01,2263261.01,974.311157227
527680.01,2263361.01,974.143310547
527680.01,2263461.01,952.106201172
527680.01,2263561.01,920.339050293
527680.01,2263661.01,920.962524414
527680.01,2263761.01,921.791931152
527680.01,2263861.01,923.383789063
527680.01,2263961.01,924.112731934
527680.01,2264061.01,925.40625
527680.01,2264161.01,926.526428223
527680.01,2264261.01,927.473754883
527680.01,2264361.01,929.848144531
527680.01,2264461.01,938.335083008
527680.01,2264561.01,959.825561523
527680.01,2264661.01,940.16192627
527680.01,2264761.01,947.449462891
527680.01,2264861.01,953.024536133
527680.01,2264961.01,954.333984375
527680.01,2265061.01,954.333984375
527680.01,2265161.01,954.333984375
527680.01,2265261.01,954.557250977
527680.01,2265361.01,955.851867676
527680.01,2265461.01,957.406066895
527680.01,2265561.01,967.905273438
527680.01,2265661.01,967.048339844
527680.01,2265761.01,965.715881348
527680.01,2265861.01,965.874267578
527680.01,2265961.01,966.847167969
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,949.889465332
527780.01,2261261.01,951.253601074
527780.01,2261361.01,951.709655762
527780.01,2261461.01,951.971740723
527780.01,2261561.01,955.028015137
527780.01,2261661.01,953.063781738
527780.01,2261761.01,955.677978516
527780.01,2261861.01,958.136901855
527780.01,2261961.01,957.307922363
527780.01,2262061.01,955.576965332
527780.01,2262161.01,956.390197754
527780.01,2262261.01,958.979125977
527780.01,2262361.01,960.934570313
527780.01,2262461.01,963.65222168
527780.01,2262561.01,966.458251953
527780.01,2262661.01,968.816101074
527780.01,2262761.01,972.482421875
527780.01,2262861.01,973.911804199
527780.01,2262961.01,974.693054199
527780.01,2263061.01,974.372131348
527780.01,2263161.01,974.202819824
527780.01,2263261.01,974.041748047
527780.01,2263361.01,973.926208496
527780.01,2263461.01,973.661132813
527780.01,2263561.01,973.469482422
527780.01,2263661.01,973.469482422
527780.01,2263761.01,973.469482422
527780.01,2263861.01,923.531677246
527780.01,2263961.01,924.64074707
527780.01,2264061.01,925.567687988
527780.01,2264161.01,926.18145752
527780.01,2264261.01,926.733459473
527780.01,2264361.01,928.864929199
527780.01,2264461.01,932.38873291
527780.01,2264561.01,962.157714844
527780.01,2264661.01,952.606628418
527780.01,2264761.01,950.148864746
527780.01,2264861.01,954.43371582
527780.01,2264961.01,954.651794434
527780.01,2265061.01,954.333984375
527780.01,2265161.01,954.111572266
527780.01,2265261.01,954.852111816
527780.01,2265361.01,957.11517334
527780.01,2265461.01,958.935913086
527780.01,2265561.01,964.570495605
527780.01,2265661.01,968.405700684
527780.01,2265761.01,969.067932129
527780.01,2265861.01,968.335144043
527780.01,2265961.01,967.74822998
527780.01,2266061.01,969.072265625
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,951.364135742
527880.01,2261261.01,951.364135742
527880.01,2261361.01,951.276184082
527880.01,2261461.01,950.772338867
527880.01,2261561.01,949.964050293
527880.01,2261661.01,949.964050293
527880.01,2261761.01,952.216186523
527880.01,2261861.01,955.014709473
527880.01,2261961.01,955.182617188
527880.01,2262061.01,954.937866211
527880.01,2262161.01,957.960327148
527880.01,2262261.01,959.686523438
527880.01,2262361.01,959.907714844
527880.01,2262461.01,961.195861816
527880.01,2262561.01,963.84777832
527880.01,2262661.01,965.537902832
527880.01,2262761.01,969.787353516
527880.01,2262861.01,972.04107666
527880.01,2262961.01,973.109680176
527880.01,2263061.01,973.368896484
